id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
9,Gymnosperme,Divisione,"Piante con fase diploide prevalente rispetto all'aploide, quest'ultima rappresentata da un solo organello della prima; sporofito con tessuto vascolare ben differenziato; fiori rudimentali con ovuli inseriti su macrosporofilli, senza ovario ne stimma; fencodaz. mediante tubo pollinico oppure spermatozoidi (non nelle nostre specie).",,,,,,,,,,,,,,,,,
22,Ginkgoacee,Famiglia,"Albero dioico con fi. ♂ in amenti e fi. ♀ riuniti all'apice di un peduncolo allungato; seme circondato da un involucro carnoso di origine tegumentale; fecondazione con spermatozoide. Durante il Mesozoico largam. diffuse in tutto l'emisfero boreale, in seguito quasi estinte e ridotte ad una sola specie (fossile vivente).",,,,,,,,,,,,,,,,,
6563,"Ginkgo biloba",Specie,"<div>Albero generalm. a portam. monopodiale con corteccia chiara. Fg. caduche, con picciuolo di 3-7 cm e lamina (3-6 cm) a ventaglio bilobo; nervi regolarm. flabellati. Bacca ovoide (2.5-3 cm) giallastra o ± bruna, alla fine marcescente e fetida. <br /><br />Originario della Cina, frequentem. coltivato nei parchi (soprattutto nella Pad.), non tende ad inselvatichire.<br /><br />E-Asiat.</div><div><strong><br />Nota</strong> - Pianta ornamentale di frequente coltura, non conosciuta con certezza allo stato spontaneo: se ne suppone l'origine in qualche zona della Cina interna, però attualmente essa è comune soprattutto in Giappone (sempre in coltura), dove i fr. vengono anche mangiati dopo fermentazione. Nell'Orto Botanico di Padova vive un esemplare vetusto di Ginkgo che, secondo la tradizione, è il primo introdotto in Europa nel sec. XVII. La pronuncia originale del nome giapponese può venire trascritta come Ginkyo, ed era ben nota al Linneo, che tuttavia nella Mantissa riporta Ginkgo, a causa di un banale errore di stampa: il nome erroneo è stato fissato dalle regole di nomenclatura, tuttavia in molte opere questa pianta viene ancora indicata col primitivo nome corretto o addirittura come <em>Gingko</em>, nome erroneo in ogni senso, o anche <em>Salisburia adiantifolia</em> Smith.</div>",b0109d3f39b48e77fe739645f3d9d8fa,6070015,600,0,,"5-30 m.",Albero,,"P scap",0010001,Ginkgo,,,Linneo,132/II,Luglio,Agosto
21,Taxacee,Famiglia,"Fi. non avvolti da brattee; fi. 3 solitari o in spighe brevi; fi. ♂ isolati all'ascella delle fg.; seme indurito, circondato da un involucro carnoso (arillo). Alberi o arbusti con fg. piane; anemogamia.",,,,,,,,,,,,,,,,,
6562,"Taxus baccata",Specie,"Albero dioico con fg. disposte in 2 ranghi opposti, verde-scure, con lamina lineare (2x 15-25 mm), lucida di sopra, acuta. Bacca rossa (6 mm), monosperma.<br /><br /><div>Paleotemp.</div><div>Alpi, App., Sic, Sard. e Cors.: RR; co-munem. però colt. Fg. fortem. velenose; la polpa della bacca è edule.</div>",2e017482d9c5a15b40df5331cb0735e2,46324269,1300,300,"Faggete, pref. calc.","5-20 m",Cespuglio,,"P scap",0018001,"Tasso comune",,,Linneo,132,Aprile,Maggio
20,Cupressacee,Famiglia,"Fi. non avvolti da brattee; inflor. ♂ con pochi stami squamosi opposti o verticillati; inflor. ♀ con poche brattee opposte o verticillate, ciascuna portante 1- molti ovuli; semi senz'ala; fr. a volte carnoso (galbulo). Alberi o arbusti con fg. squamose o aghiformi; anemogamia.",,,,,,,,,,,,,,,,,
6545,Juniperus,Genere,"Bibl.: Pilger R., Mia. Deutsch. Dendrol. Ges. 43: 255-269 (1931).",f1ebd775ed3871157e8ddfe2f4785139,14001,,,,,,,,,Ginepro,,,Linneo,,,
6555,"Juniperus sabina",Specie,"Corteccia rossastra desquamante in fogli; rami patenti-flabellati, gli estremi coperti di squame embriciate (1X 1.2 mm), che nei rami di 3-4 anni, ingiallite, raggiungono 2 X 2.5 mm. Bacche verdi-bluastre pendule (5-7 mm).<br /><br /><div>Circumbor.</div><div>Nelle valli interne (continent.) delle Alpi: C; App. March.-Abr.: R.</div>",afe2abc24227f697f4bab1bf81217690,1061665,2000,1300,"Pendii soleggiati, rupi.","5-15 dm",Cespuglio,,"P rept",0045009,"Ginepro sabino; Sabina",,,Linneo,131,Aprile,Giugno
6554,"Juniperus thurifera",Specie,"Si distingue da {t130} per il portam. arboreo, le bacche maggiori (diam. 7-11 mm) erette, le fg. con breve punta ricurva.<br /><br /><div>W-Medit. (Euri).<br /><br /></div><div>Nelle Alpi Occid. in Delfinato, fuori dai nostri confini, ma a pochi km dallo spartiacque; recentem. scoperto anche in Cors. dove appare indigeno.</div>",f2614494851b37faf34c67c191315522,1034897,1000,500,"Pendii aridi.","3-10 m",Cespuglio,,"P caesp",0045006,"Ginepro turifero",,,Linneo,130/b,Aprile,Maggio
6553,"Juniperus phoenicea",Specie,"Corteccia desquamante in nastri arrotolati, che lasciano vedere lo strato sottostante rossastro. Rami estremi completam. ricoperti dalle fg. squamiformi (1 mm), densam. embriciate. Bacche rossastre, ovali (10-13 mm), pendule.<br /><br /><div>Euri-Medit.</div><div>Coste Occid, Puglia, Sic, Sard. e Cors.: C; V. Gesso: R.</div><div><br /><strong>Nota</strong> - In aspetto tipico {t130} è la pianta delle macchie e delle formazioni arbustive su rupi calcaree, con rami ± a ventaglio (l'asse principale supera di poco i lat.); sulle spiagge si trovano popolazioni con rami piramidali (l'asse principale supera largam. i lat.); anche la bacca è un po' maggiore: l'amico S. Rivas Martinez (Madrid) mi comunica gentilmente di aver osservato popolazioni di questo secondo tipo sulla costa toscana pr. Viareggio. Esse corrispondono a <em>J. oophora</em> (Willk.) Kunze (= <em>J. phoenicea</em> subsp. lycia Molinier et Bolòs).</div>",e3fbf444c08a17e7a2f89454354d00a6,1061668,600,0,"Macchie, soprattutto sul lit.",,Cespuglio,,"P caesp",0045005,"Ginepro fenicio",,,Linneo,130,Marzo,Aprile
