id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
6214,"Adenophora liliifolia",Specie,"F. eretti, cilindrici, in alto angolosi ed un po' ruvidi. Fg. subglabre, sessili o brevem. picciuolate (1-2 x 5-10 cm) patenti o ± pendule, acutam. seghettate, le sup. lineari e ridotte. Pannocchia ampia, piramidale con rami patenti; peduncoli 6-8 mm, generalm. con 2 squamule lineari; calice con tubo di 2 mm e denti lineari, patenti o riflessi di 4 mm, dentellati sui bordi; corolla azzurro-liliacina, campanulata, lunga 12-15 mm e divisa su ⅕, diam. max. 7-8 mm; stimma violaceo, pendulo, sporgente di 10-15 mm.<br /><br /><div>Eurasiat.</div><div><br />Carnia, Bellun., Grappa, Lessini, Baldo, Treni. Merid.: R; ancora nelle Prealpi lomb. (Bagolino, M. Podona), C. Tic. e pr. Torino a Giroletto.</div>",5807c048a75b212a684f032ba8dc175c,5135596,800,300,"Bordo merid. delle Alpi.","3-10 dm","Pianta perenne erbacea",,"H scap",8648001,"Campanella odorosa",,"(= Campanula lil. L. ind. C. alpini L.)","(L.) DC.",3715,Luglio,Agosto
6273,"Campanula pollinensis",Specie,"Simile a {t3768}. ma fg. totalm. glabre; ricettacolo minutam. papilloso o liscio.<br /><br /><div>Endem.</div><div>Pollino, dal C. del Dragone alla Serra del Prete: RR.<br /><br />Bibl.: Podlech D., Min. Bot. Staatss. Munchen 8: 211-217 (1970).<br /><br />Areale a pag. 697.</div><div> </div><div><strong>Nota</strong> - {t3768} viene segnalata per le Madonie in tutte le Flore recenti ed anche nella revisione di Podlech. I colleghi Marcenò e Raimondo (Palermo), che hanno riesaminato il problema, sono riusciti a ritrovare una pianta di questo gruppo, ma come specie di forra vivente su rupi calcaree. Avendo esaminato questa pianta nella sua stazione naturale e con abbondante materiale d'erbario, mi sembra di poter escludere l'attribuzione a {t3768}, e di poterla piuttosto riferire a {t3769}, tuttavia con qualche dubbio in quanto la corolla si presenta simile a quella di {t3773}. Il problema va dunque ulteriormente indagato. Probabilm. anche la segnalazione di {t3758} per le Madonie va qui riferita.</div>",03e4a473a4c09e92bc251adc683ee48c,5133579,2100,1600,"Rupi e pareti (calc).","12-22 cm.","Pianta perenne erbacea",,"H scap",8644145,"Campanula del Pollino","Specie endemica",,Podlech,3769,Giugno,Agosto
6272,"Campanula stenocodon",Specie,"Rz. sottile, ramoso; f. generalm. ascendenti, ampiam. ramosi. Fg. basali rotondato-cuoriformi, le cauline inf. ovali a ellittiche (3-7 X 6-10 mm), brevem. picciuolate, crenate; fg. med. lineari-allungate (fino a 5 X 50 mm), sessili, generalm. intere. Inflor. a pannocchia con lunghi rami patenti; fi. ± isolati, penduli nel boccio, alla fior. ± eretti; calice con lacinie erette 3-4 mm; corolla ± roseo-violacea, strettam. imbutiforme 15-20 mm, divisa su ⅓-⅖ in lacinie strette; antere lunghe 1.5 volte il filam.; polline giallastro; ov. liscio; capsula pendula 5 mm.<br /><br /><div>Subendem.</div><div>Alpi Cozie e Mariti., dai monti di Pinerolo alla Lig.: R. Anche sulle vicine catene del Nizzardo e Delfinato.<br /><br />Areale a pag. 701.</div>",ca6d88a2d2b99561292d96168fb65c69,5133833,2100,1600,"Rupi e pietraie.","15-30 cm.","Pianta perenne erbacea",,"H scap",8644137,"Campanula a corolla stretta","Specie endemica",,"Boiss. et Reuter",3773,Luglio,Settembre
6271,"Campanula marchesettii",Specie,"Simile a {t3761}, ma f. eretto, con fi. diretti in ogni senso; fg. med. generalm. patenti in modo caratteristico; peduncoli robusti (spessi circa quanto il f. verso l'apice); corolla lunga 16-18 mm.<br /><br /><div>Sub-endem.<br /><br /></div><div>Trent. al Buco di Vela: RR e da verif.; più abbondante sul Carso sloveno dalla Tarnova al Nanos, però probabilm. solo in territ. jugoslavo. Anche in Istria a Pisino, M. Planik, M. Maggiore e nell'Is. di Veglia.<br /><br />Areale a pag. 697.<br /><br />Marchesetti de C. (1850-1926), medico e naturalista di Trieste, autore di una pregevole Flora di questa città.</div>",511d4a13467ef759a1e120cf867ce28e,5133404,1300,500,"Boschi aridi, pinete, cespuglieti.","30-60 cm.","Pianta perenne erbacea",,"H scap",8644123,"Campanula di Marchesetti","Specie endemica",,Witasek,3762,Giugno,Ottobre
6270,"Campanula rotundifolia",Specie,"Rz. sottile, strisciante; f. finem. pubescente in basso o raram. glabro, ascendente, incurvato in alto, o raram. eretto. Fg. basali con picciuolo di 3-6 cm e lamina (1-2 cm) rotondata o reniforme, acutam. dentata (alla fior, a volte le fg. basali sono scomparse oppure ne restano solo 1-2, assai ridotte); fg. cauline generalm. lineari-lanceolate o lineari (1-5 X 20-50 mm). Fi. generalm. pochi in racemo, talora con qualche ramo basale; bocciuoli eretti, ma fi. penduli; calice con lacinie lineari (4-8 mm), generalm. erette o un po' patenti; corolla 12-25 mm; antere lunghe quanto i fìlam. o poco più brevi; polline giallastro o rossastro; ov. glabro o papilloso; capsula pendula.<br /><br /><div>Nord- e Centroeurop.</div><div>Alpi, dal Goriz. alla Val di Susa: C; App. Tosc: R.<br /><br /></div><div><strong>Variab.</strong> - Specie polimorfa, di regola tetraploide, ma raram. anche di- oppure esaploide; la Witasek ha descritto da questo complesso un gran numero di specie, sottospecie e varietà, che tuttavia non sembrano meritare un rango tassonomico qualsiasi: più probabilmente {t3766} si deve interpretare come un assieme di popolazioni parzialmente differenziate, ma del tutto interfertili. Di regola {t3766} presenta ov. glabro e f. pubescente, però sulle Alpi Or. sono comuni popolazioni con ov. papilloso e f. quasi del tutto glabrescente; piante con fg. cigliate alla base (particolarm. frequenti in V. Aosta) sono state descritte come subsp. pedemontana Witasek, però non sembrano realm. distìnte. Numerosissime indicazioni di <em>C. rotundifolia</em> o di sue varietà in lavori floristici riguardanti la Pen. vanno riferite alle specie {t3756}-{t3773}.<br /><br />Bibl.: Podlech D., Feddes Rep. 71: 51-187 (1965); Bielawska H., Ada Soc. Boi. Polon. 33: 15-44 (1964), id. 37: 261-296 (1968).</div><div><br /><strong>Osserv.</strong> - In generale si tratta di pianta delle stazioni sinantropiche, frequente nei prati falciati, nei pascoli ed in altri tipi vegetazionali condizionati dall'azione umana; in questo si distingue dalle specie seguenti, che vivono in ambiente naturale.</div>",9c8c2af1e204c0dfa31a07d9d67b74a8,577770,2000,100,"Prati, pendii sassosi, muri, rupi.","10-60 cm.","Pianta perenne erbacea",,"H scap",8644141,"Campanula soldanella",,,Linneo,3766,Luglio,Agosto
6269,"Campanula pseudostenocodon",Specie,"Simile a {t3763}, ma inflor. povera, generalm. 2-6flora; fg. inf. ovali-ellittiche, le sup. lanceolate a lineari; peduncoli robusti; corolla strettam. imbutiforme, quasi subcilindrica, 15-20 mm.<br /><br /><div>Endem.</div><div>App. Merid. sull'Alburno, Cervati, Volturino, Serra d. Spina e M. Montea: RR; anche in Abr. nell'Aquilano e forse sull'Asprom.<br /><br />Areale a pag. 701.</div><div><br /><strong>Variab.</strong> - Come {t3763} è nota sia in piante glabre che ± ispide.</div>",33c5c6765ad3db48ff2ed5c3d00b5b77,5133612,1800,1100,"Pietraie, rupi, brecciai (calc).","15-30 cm.","Pianta perenne erbacea",,"H scap",8644126,"Campanula calabro-lucana","Specie endemica",,Laicata,3764,Luglio,Agosto
6268,"Campanula bertolae",Specie,"Simile a {t3761}, ma f. elevati, robusti; rz. legnoso ingrossato (diam. 4-6 mm); inflor. ramosa in basso; peduncoli robusti; corolla campanulata imbutiforme 10-17 mm.<br /><br /><div>Endem.</div><div>Alpi Occ. pr. Torino in V. di Lanzo, Canavese, V. di Susa, V. Chisone e Cuneese pr. Bernezzo: R.<br /><br />Areale a pag. 697.</div><div><br /><strong>Variab.</strong> - Può presentarsi completarci, glabra oppure più o meno densam. pelosa; ibridi {t3763} X {t3766} sono stati osservati raram. (V. di Susa): essi sono sempre sterili.<br /><br />Bertola F. V. (sec. XIX), agrario e fiorista torinese.</div>",70db53e5769485de2ea1ca9417dcd48d,5132829,1000,300,"Pendii aridi sassosi (serpentino).","30-60 cm.","Pianta perenne erbacea",,"H scap",8644125,"Campanula di Bertola","Specie endemica","(incl. C.re Colla)",Colla,3763,Luglio,Agosto
6267,"Campanula apennina",Specie,"<div>Rz. sottile; f. eretto, incurvato in alto, semplice, glabro. Fg. basali allargate, scomparse alla fior., le cauline tutte strettam. lineari (2-4 X 20-60 mm) e simili tra loro, le sup. erette, non più brevi delle med. Racemo allungato, multifloro, unilaterale; peduncoli capillari 10-15 mm; bocciuoli eretti; calice con lacinie di 4-6 mm, appressate alla corolla, questa di 10-12 mm, lar-gam. campanulata; ov. generalm. papilloso; capsula ovoide (5 X 5-6 mm), eretta.<br /><br /><div>Endem.</div><div>App. Centr. sul M. Catria, M. S. Vicino, M. Pennino, Sibillini, Monte dei Fiori, Pizzo di Sivo, Terminillo, Duchessa, Abr. Merid. alla Camosciara RR.</div></div>",792863ae358a9f9a2b8fb6e012208934,39900682,1800,1000,"Pendii aridi, selve.","30-60 cm.","Pianta perenne erbacea",,"H scap",8644119,"Campanula degli Appennini","Specie endemica","( = C. marchesettii Auct. Fl. It. Centr.; C. micrantha Bertol. nomen illeg.)",Podlech,3761,Luglio,Agosto
6266,"Campanula witasekiana",Specie,"Simile a {t3766}, ma rz. lungam. strisciante con tubercoli radicali fusiformi (0.5-1 X 1-3 cm); peduncoli capillari; corolla 10-15 mm.<br /><br /><div>Illirica.</div><div>Tarvisiano pr. Raibl sul Wischberg, Prealpi Clautane e Trent. pr. Scanuppia e Cento: RR. Verso Nord giunge fino alla zona di Vienna.<br /><br />Witasek J. (1865-1910), austriaca, autrice di studi sul gen. <em>Campanula</em>.</div>",588107132b6504490720f421c85302bd,5133996,1800,1000,"Pascoli sassosi, macereti, rupi (calc).","20-50 cm.",,,"H scap",8644132,"Campanula della signora Witasek",,,Vierh.,3767,Luglio,Settembre
6265,"Campanula macrorrhiza",Specie,"Simile a {t3759}, ma rz. legnoso ingrossato (diam. 5-15 mm); fg. basali generalm. presenti alla fior., le cauline per lo più intere; fi. portati da peduncoli allungati o rami spesso penduti; bocciuoli eretti; lacinie calicine spesso ± erette; corolla lunga 15-25 mm.<br /><br />Subendem.<br />Alpi Mariti. e Riviera dal confine a Ventimiglia, Nava, Ormea e Garessio: R. Più abbondante nel Nizzardo, avanza verso occidente fino a Marsiglia.",986664545e03d0e2b04dc5448d1d7f3e,5133390,1500,200,"Rupi calc. ombrose.","15-30 cm.","Pianta perenne erbacea",,"Ch pulv",8644105,"Campanula della Riviera","Specie endemica",,"Gay ex DC.",3756,Maggio,Luglio
