id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
7351,"Saponaria sicula",Specie,"F. striati cespugliosi, densam. fogliosi, vischiosi in alto. Fg. basali spatolate (4-7 X 20-35 mm), glauche, scabre sul bordo; fg. cauline ridotte. Inflor. contratta, pauciflora; peduncoli di 5-10 mm; calice arrossato, cilindrico (22-25 mm) con denti brevi, acuminati; petali rosei, con lembo lungo 6-8 mm, diviso fin quasi a metà in due lobi.<br /><br />S-Medit. - Mont.<br />Sic. su Etna e Madonie al M. Scalone e M. Quacella: R.<br /><br /><strong>Nota</strong> - La nostra pianta si ritrova, oltre che in Sic. ancora in Algeria; altre due subsp. debolm. differenziate sono distribuite nella parte meridionale della Penisola Balcanica: subsp. intermedia (Simmler) Chater e subsp. stranjensis (Jordanov) Chater.",1379843369ad7f8577c021759454377a,5207292,2000,700,"Incolti aridi e rupi.","10-15 cm","Pianta perenne erbacea",,"H caesp",2503006,"Saponaria siciliana",,"(=S. depressa Biv.)",Rafin.,637,Giugno,Luglio
7350,"Saponaria officinalis",Specie,"F. eretti, cilindrici, glabri. Fg. ellitti-co-lanceolate (1-2.5 x 5-8 cm), sessili, 3(5)-nervie, acute, di sopra verdi-scure. Fi. (diam. 3 cm) in cime fogliose dense; peduncoli 2-4 mm; calice cilindrico (3x17 mm) spesso purpureo almeno in alto, con denti di 1-2 mm; petali con unghia di 20 mm e lembo obeuneato roseo a bianchiccio, di 8 X 13 mm.<br /><br />Eurosiber.<br />Larghissimam. naturalizz. negli orti, lungo le vie, sui ruderi e terreni abbandonati; in tutto il terr. : C.<br /><br /><strong>Nota</strong> - Probabilm. da noi spontanea solo in popolazioni (oggi assai rare) viventi negli alvei dei grandi fiumi, soprattutto in ambiente boschivo periodicamente inondato; altrove solo sinantropica e da considerare naturalizzata. Un tempo anche coltivata per uso domestico.",814f89b6c834f813cf2017a0be0d3bfa,588672,1000,0,"Incolti umidi lungo i corsi d'acqua.","3-7 dm","Pianta perenne erbacea",,"H scap",2503009,"Saponaria comune",,,Linneo,640,Giugno,Agosto
7349,"Saponaria calabrica",Specie,"Simile a {t639}, ma annua, con f. eretti o ascendenti, corimbosi, inferiorm. glabri, vischiosi in alto; calice di 6-10 mm; petali con lembo di 3-5 mm, intero.<br /><br />SE-Europ. (Anfiadriat.).<br /><br />Basil., a Viggiano, A. Latronico, Lagonegro; Pollino (Serra del Prete); Sila (S. Giov. in Fiore, Arnocampo, tra Lorica e Bivio Garga, Camigliatello): R.",3fdabd74507c98112f7db340a36d6b85,5207210,1500,600,"Incolti aridi, vigne.","1-3 dm.",,Annuale,"T scap",2503007,"Saponaria calabrese",,,Guss.,638,Giugno,Luglio
7348,"Saponaria ocymoides",Specie,"F. prostrati, ramosissimi, ispidi fino alla base per peli patenti misti a rare ghiandole. Fg. lanceolate (4-5 x 15-17 mm), sessili. Cime brevi all'asc. delle fg. sup.; peduncoli 4-6 mm, interrotti a metà da una coppia di brattee brevi (2-3 mm); calice roseo, cilindrico (2x10 mm), ispido e densam. ghiandoloso; petali con unghia di 9 mm e lembo rosso-vinoso, spatolato, spesso retuso, di 2x8 mm; capsula piriforme (9 mm).<br /><br />Orof. SW-Eu-rop.<br />Alpi ed App., prevalentem. suicolli, nella pianura vera e propria manca, oppure è avv. su macerie, negli alvei, etc. Verso S è dubbio se superi l'App. Centr.<br /><br /><strong>Variab.</strong> - In Cors. e Sard. si presenta più gracile, con cime pauciflore ed è stata descritta come <em>S. alsinoides</em> Viv.",b47c7e57a8c8f5f9ace83935ea48bc18,485089,1500,100,"Suoli scoperti, frane (pref. calc).","2-4 dm","Pianta perenne erbacea",,"H scap",2503008,"Saponaria rossa",,,Linneo,639,Maggio,Agosto
7347,"Saponaria bellidifolia",Specie,"F. legnoso, densam. cespuglioso alla base, con scapo fiorifero glabro, eretto, semplice, per lo più con 1 solo paio di fg. Fg. basali lineari-spatolate, le cauline strettam. lineari. Inflor. densa, capituliforme; calice subcilindrico (4-5 mm) a denti ottusi, pubescenti in alto; petali gialli di 8-9 mm con lembo subspatolato, arrotondato; filam. gialli, lungam. sporgenti e superanti i petali; capsula clavata.<br /><br />Orof. Nordmedit. (Anfiadriat).<br /><br />Abr.: Morrone, Majella, Sirente, Velino, Marsica: R.<br /><br />Recentem. osservata anche sui Sibillini.",ba8a6374f8cc85cbecc7f9345513554b,5207204,1700,1000,"Incolti aridi e rocciosi (calc).","2-4 dm.",,,"H caesp",2503001,"Saponaria con foglie di Pratolina",,,Sm.,634,Maggio,Giugno
7346,"Saponaria pumila",Specie,"Pulvini emisferici con f. legnosi e scapi fioriferi normalm. Mori. Fg. lineari di 1-2 X 15-18 mm, le sup. subspatolate. Calice rigonfio (diam. 6 mm) lungo 13 mm, irsuto, arrossato in alto, con denti ottusi di 2-3 mm; petali rosei di 5-6 X 20 mm; capsula piriforme, completam. inclusa nel calice.<br /><br />Endem. E-Alp.<br /><br />Cadore in Val Padola; Alpi Pusteresi; Gr. di Cima d'Asta, dai Monzoni e Col-bricon alla Valsugana, più raram. a N delVAvisio (Corno Nero, Schlern): R.<br /><br /><strong>Nota</strong> - L'areale di {t636} è centrato sulle Alpi Austriache, soprattutto Tauri in Stiria e nel Salisburghese; si deve pertanto suppore un'origine postglaciale, a meno che le stazioni nella Valsugana non possano venire interpretate come rifugi.",99264017937d0ea755ef125377039608,485090,2600,1900,"Pascoli alpini, creste ventose, rupi (silice).","1-3 cm","Pianta perenne erbacea",,"Ch suffr",2503004,"Saponaria minore",,"( = Silene pumilio Wulfen; Sap. pumilio Fenzl non Boiss.)","(St.-Lag.) Janchen",636,Luglio,Agosto
7345,"Saponaria lutea",Specie,"Simile a {t634}, ma scapi ridotti, con 2 a parecchie paia di fg.; inflor. meno densa; fg. basali lineari; calice lungam. lanoso fino in basso; filam. violacei più brevi dei petali.<br /><br />Endem.<br />C. Tic., Ossola, V.Aosta ed A. Graie fino al Cenisio: R.<br /><br />Segnalata ripetutam. sul versante svizzero o francese delle Alpi, dove è verosimile possa crescere.",456e926d6b2cd339d9390ecaeff55b46,5207253,2600,1500,"Pascoli alpini e subalpini.","5-10 cm.","Pianta perenne erbacea",,"H caesp",2503002,"Saponaria gialla",,,Linneo,635,Luglio,Agosto
7048,Saponaria,Genere,"Bibl: Simmler G., Denkschr. Akad. Wiss. Math.-Nat. Kl (Wien) 85: 433-509 (1910).",de3df1c8ee2b25b70556a7d32eb7369c,61449,,,,,,,,,Saponaria,,,Linneo,,,
7047,"Velezia rigida",Specie,"Pianta pubescente-ghiandolosa. F. prostrati o ascendenti, rigidi, dicotomi. Fg. basali lineari-spatolate, le cauline lineari (1-2 X 10-20 mm), acute, con nervi prominenti. Fi. solitari od appaiati ai nodi; calice (10-14 mm) cilindrico con 15 nervi; petali rosei, brevi, bifidi; capsula cilindrica.<br /><br />Medit.-Turan.<br />Sic. e Sard.: C; Pen. (verso N fino al Garg., Abr. a Trasacco, Firenze), Cors.: R.<br /><br /><strong>Nota</strong> - In molte zone incostante oppure in via di scomparsa. Per il Lazio, ad es. (Montelucci, in litt.) le stazioni romane di Valle Inferno (Sanguinetti) sono scomparse, le altre nella porzione occid. della regione, andrebbero verificate, mentre nella porzione orient. l'unica località certa è S. Vittorino pr. Tivoli. Anche dall'It. Sett. (Lido di Venezia, Mondovì) {t666} è verosimilm. scomparsa.<br /><br />Veléz C. († 1753) farmacista e botanico madrileno.",311fcd73d0a0beb72a5368905855dd12,582007,1200,0,"Incolti aridi.","1-3 dm",,Annuale,"T scap",2504001,"Velezia rigida",,,Linneo,666,Maggio,Giugno
7046,"Vaccaria hispanica",Specie,"F. eretti, ramoso-corimbosi, glabri. Fg. lanceolate (1-2.5 x 3-7 cm), amplessicauli. Fi. (diam. 1-1.5 cm) con calice piriforme, alato (12-15 mm), purpureo sul bordo; petali con lembo roseo, retuso o bilobo (5-9 mm); capsula sferica (7 mm).<br /><br />W-Asiat. (Archeofita).<br /><br />Un tempo comune in tutto il terr., per l'evoluz. delle colture ora sporadica ed incostante; quasi scomparsa dalla Pad. e dal versante occid. della Pen. a S di Siena.",d8e4e7ccbcd826b61107bffe6db54116,,600,0,"Infestante le messi e ruderale su suolo pesante.","3-6 dm.",,Annuale,"T scap",2501001,"Cetino dei campi",,"(= V. pyramidata Medicus; Saponaria vaccaria L.)","(Miller) Rauschert",641,Aprile,Maggio
