id,name,taxa_kind_id_name,description,col_id,eol_id,Limite altitudinale superiore,Limite altitudinale inferiore,Tipo di vegetazione,Altezza,Portamento,Codifica numerica,Diffusione,Ciclo riproduttivo,Nome Italiano,Autore,Sinonimi,Progressivo,Inizio fioritura,Fine fioritura,Forma biologica
3073497,Hieracium symphytifolium,Specie,"(lucidum -crinitum; syn.: H. siculum Guss.) -Aspetto intermedio tra quello dei parenti: solo 3-5 fg. picciuolate, le altre soltanto ristrette alla base e progressivam. abbreviate, sparse fino all'inflor.; involucro 10-12 mm; pianta bianco-tomentosa.<br /><br />Sulle Madonie: RR. (1000- 1600 m).",0ac103b5b7355fb15c844295f21c2f57,,1600,1000,Rupi calc,,,,,,,Froelich,,,,,
4133496,Hieracium italicum,Specie,"(virgaurea &gt; racemosum) - Simile a {t4486}, ma generalm. minore, con fg. a picciuolo più breve, scarsam. dentato, e capolini minori (involucro 8-9 mm).<br /><br />Soprattutto nelle faggete ed abetine: App., dalla Lig. alla Cal.: R.",d902033037e66e08bf78d20dd75085e6,,,,,,,,,,,Fries,,,,,
3253494,Hieracium crinitum,Specie,"Involucro ± peloso e con peli ghiandolari abbondanti; squame verdi; fg. delle pseudorosette almeno in parte con picciuolo ± differenziato dalla lamina (ma non così nettam. come in {t4486}); pelosità generalm. più fitta.<br /><br />Lig., App. Centr. eMerid., Sic. e Cors.: C",e433da9090842624aaeb7a18dbaf55b5,,,,,,,,,,,,,,,,
3633493,Hieracium barbatum,Specie,"Involucro subglabro o ± peloso, ma senza ghiandole; il resto come in a).<br /><br />Sporadicam. dalle Alpi Or. al Piem. ed in Abr.",ec8a895f662cf53bef6bfd9adad41099,,,,,,,,,,,Tausch,,,,,
2223492,Hieracium racemosum s.s.,Specie,,,,,,,,,,,,,,,,,,
573491,Hieracium brevifolium,Specie,"(umbellatum -sabaudum - racemosum; syn.: H. latifo-lium Froelich non Spruner)<br /><br />Aspetto di {t4484}, ma fg. cauline inf. molto evidentem. allargate (le più larghe fra tutte le specie del gruppo {t4482}-{t4485} !), ovate o ellittiche (3-4 X 4.5-8 cm), più raram. lanceolate (3 X 10-12 cm), le sup. abbastanza bruscam. ridotte e ± ovate (2-4 cm), tutte assolutam. sessili.<br /><br />Molto frequente dal Carso Triest. alle Prealpi Friulane e Ven., più R sul resto delle Alpi ed App. Sett. e Centr.<br /><br />Gruppo polimorfo.",b3203e6506b11ddedc4989ede63defa0,,,,,,,,,,,Tausch,,,,,
6303490,Hieracium platyphyllum,Specie,"(racemosum -sabaudum) - Aspetto di {t4484}, ma fg. inf. un po' addensate (ma non tanto come in {t4485})<br /><br />Alpi, App. Sett.:R.",e3cccee62b9e4ab82da05cea7ac7ae14,,,,,,,,,,,A.-T.,,,,,
2283489,Hieracium boreale,Specie,"Involucri e generalm. peduncoli senza peli semplici e senza ghiandole, oppure con peli semplici e ghiandole brevi e scarse; f. irsuto tutt'al più in basso; fg. per lo più senza ghiandole.",224aa2bcfe9de4da9415fc9107da86b1,,,,,,,,,,,(Fries) Zahn,,,,,
2873488,Hieracium sabaudum s.s.,Specie,Involucri e generalm. peduncoli con peli allungati e peli ghiandolari; f. irsuto ± su tutta la lungh.; fg. per lo più con microghiandole almeno sul bordo.,,,,,,,,,,,,,,,,,
2143487,Hieracium inuloides,Specie,"(laevigatum -prenanthoides) - Aspetto di {t4482}, ma fg. con base abbracciante; peli ghiandolari generalm. più abbondanti. - Alpi, App. Sett.: R.",9fac2496dd3da86d8512212498964d82,487327,,,,,,,,,,Tausch,,,,,
