id,name,taxa_kind_id_name,description,col_id,eol_id,Limite altitudinale superiore,Limite altitudinale inferiore,Tipo di vegetazione,Altezza,Portamento,Codifica numerica,Diffusione,Ciclo riproduttivo,Nome Italiano,Autore,Sinonimi,Progressivo,Inizio fioritura,Fine fioritura,Forma biologica
7712940,Centaurea parlatori,Gruppo,"Piante perenni, grigio-tomentose (più raram. glabrescenti e ± verdi o al contrario bianco-nivee) con fg. completam. divise in lacinie strette, per lo più lineari, acute; capolini da piccoli a grossi, ovoidi o subsferici; squame a nervi poco evidenti, con appendice decorrente portante ciglia pettinate; pappo lungo circa quanto l'achenio. Anche questo gruppo è incompletam. noto e la sistemazione ne risulta largam. ipotetica.",,,,,,,,,,,,,,,,,
4842939,Centaurea maculosa,Specie,"F. eretti, ruvidi, striati, ramosi; pianta verde, con tomento ragnateloso effimero. Fg. basali (1 dm ed oltre) scomparse alla fior.; fg. cauline (2-6 cm) 2pennatosette con 2-4 paia di segm. lat. stretti (1-2 mm) e segm. terminale lineare-spatolato (2-4 X 15-25 mm). Capolini numerosi (diam. 2 cm), corimbosi; involucro piriforme diam. 8-10 mm, alla fine aperto ed emisferico (12 mm e più); squame con appendice bruno-nerastra portante 6-10 ciglia di colore più chiaro, lunghe 1.5-2.5 miti per lato; le squame sono in serie ravvicinate e le appendici spesso si toccano o sovrappongono; fi. rosei; acheni 3-3.5 mm con pappo di 1 mm.<br /><br />
<div>Centro-Europ.</div>
<div>Alpi e rilievi collinari prealpini dal Triest. alla Lig.: C; anche sull'App. Sett. fino all'Emilia e nella Pad.: R; dubbia per la Tosc.<br /><br /></div>
<div><strong>Variab.</strong> - Il colore e l'aspetto delle appendici e così pure la lungh. del pappo sono variabili, pertanto (almeno da noi) i limiti rispetto a {t4215} non sono netti e le due vanno verosimilm. incluse in un'unica specie. <em>C. chaubardii</em> Rchb. è caratterizzata da capolini minori (6-8 mm), appendici a ciglia allungate (2 mm e più) e tomento biancastro; indicata per il Piem., è dubbio se sia veram. distinta. La diffusione nell'It. Centr. andrebbe verificata: le indicazioni delle flore toscane vanno, almeno in massima parte, riferite a {t4210}; piante a capolini più grossi (involucro con diam. 10-20 mm) vanno riferite a {t4229}.</div>
<div><strong><br />Confus.</strong> - Con {t4217} (cfr.).</div>",77dccdf78e6ca51d8bbbc59c8f2adfa0,,1500,0,"Prati aridi steppici, pendii aridi, incolti.",3-6 dm,,9476120,,Biennale,Fiordaliso dei pascoli,Lam.,(= C. paniculata Auct. Fl. Ital. non L.),4214,Giugno,Luglio,H bienn
18212938,Centaurea kartschiana,Gruppo,"Piante con fg. ± completam. divise in lacinie lineari, le basali 2 pennatosette, ampiam. ramose e con numerosi capolini ovoidi; squame spesso terminanti in una spinula; pappo formato da scaglie lineari-appiattite, rigidette. Almeno 5 stirpi (delle quali solo 3 nel nostro terr.). che costituiscono un gruppo molto naturale, distinto rispetto a {t4211}-{t4215} soprattutto per la forma dei capolini, ovoidi anziché cilindrici o cilindro-conici. Le stirpi basali sono probabilm. {t4216} e {t4216/b}, entrambe piante perenni delle rupi maritt. con squame med. terminate da una spinula per lo più ricurva ed achenio con pappo allungato (¹); {t4216} e {t4216/c} sono diploidi (il numero cromosomico di {t4216/b} non è noto). Da esse si distinguono le altre 3 stirpi per progressivo passaggio salla condizione bienne, invasione dei biotopi continentali, scomparsa della spinula, riduzione o scomparsa del pappo; tutte sono tetraploidi. - Bibl.: Lausi D., Giorn. Bot. Ital. 73: 92-93 (1965).<br /><br />¹ La caratteristica conformazione del pappo potrebbe spiegare perché questo sia sviluppato solo nelle specie delle rupi maritt.: esso infatti permette all'achenio di galleggiare, grazie alla superficie portante delle scaglie che lo compongono.",,,,,,,,,,,,,,,,,
13022937,Centaurea diffusa,Specie,"F. eretto, lanoso o scabro, dalla base con abbondanti rami ± patenti. Fg. basali a contorno ovato-lanceolato (3-6 X 5-10 cm), 2pennatosette con segm. lanceolati a ovati, acuti; fg. profondarci, dentate o ± intere. Capolini sottili: involucro subcilindrico 4-5 X 7-10 mm; squame allungate e strette, con 3-4 ciglia di 1-2 mm per lato ed all'apice una spinula di 3-4 mm; fi. biancastri, ± ! soffusi di roseo; acheni scuri 2.5 mm, privi di pappo.<br /><br />SE-Europ. - Sudsiber.<br />Avv. a Trieste, Gorizia, Genova, Casale Monferrato: R ed ovunque effìmera.",eb7a7c10eba7dabd12fe97ed1ae7681f,467784,500,0,"Incolti, ruderi, macerie.",3-5 dm.,,9476141,,,Fiordaliso diffuso,Lam.,,4219,Luglio,Luglio,H bienn
7462936,Centaurea filiformis,Specie,"F. eretti, striati, alla base legnosi e con peli rossastri, ramificati in alto. Fg. glabre, pennatosette, lunghe 5-15 cm, completam. dissolte in lacinie lineari lunghe 2-4 cm; lamina coriacea, revoluta sui bordi (così che le singole lacinie sono in generale più strette di 1 mm), picchettata di punteggiature incavate. Capolini corimbosi unilaterali e ± nutanti; involucro emisferico (diam. 1.5 cm); fi. rosso-violacei (20 mm) o raram. scolorati; pappo lungo quanto l'achenio o poco più.<br /><br />
<div>Endem.</div>
<div>Sard. Or.: RR. - Bibl.: Arrigoni P. V., Webbia 27: 279-287(1972).<br /><br />
<div><strong>Osserv.</strong> - Le due stirpi differiscono per la forma delle squame, il che ha indotto alcuni Autori (ad es., il Martelli e recentem. Dostàl in Fl. Europ.) a riferirle a sottogeneri diversi: la subsp. (b) andrebbe inclusa in Phalolepis e dovrebbe essere sistemata vicino a {t4230}-{t4231}. Ma se questo fosse vero, ci troveremmo dinanzi ad un caso addirittura mostruoso di convergenza: eguale l'aspetto, eguali i peli rossastri, eguale l'ecologia, areali contigui pur in due specie di derivazione del tutto distinta. Inoltre Arrigoni (loc. cit.) descrive popolazioni intermedie fra le due, che occupano l'area geograficam. intermedia: sembra più naturale considerare dunque le due stirpi come di origine monofiletica ed includerle in un'unica specie quali sottospecie. La convergenza con {t4230}-{t4231} si ridurrebbe dunque alla sola forma delle squame, <em>nexum mirabile</em>, come osserva il Béguinot (Arch. Bot. 7: 88, 1931) sulla scia del Lacaita (N. Giorn. Bot. Ital. 32: 105, 1925), anche a proposito dei rapporti tra {t4224} e {t4230}. Le popolazioni intermedie tra le due sottospecie sono state osservate (Arrigoni, loc. cit.) a N di Baunei e vengono interpretate come gamodemi formatisi per isolamento geografico. Nell'Is. di Tavolara sono stati osservati ibridi {t4208} X {t4209}.</div>
<div><br />Comune della Sard. in provincia di Nuoro, al centro di una zona ricchissima d'endemismo.</div>
<div> </div>
</div>",423f6448517e76f04f5fac042dedbefb,6216225,1100,0,Rupi calcaree.,3-5 dm,Pianta perenne erbacea,9476116,Specie endemica,,Fiordaliso di Oliena,Viv.,,4209,Maggio,Giugno,Ch suffr
22792935,Centaurea paniculata,Gruppo,"Specie bienni con f. ampiam. ramoso, policefalo e fg. 2pennatosette, divise in lacinie strette (1-2 mm); capolini generalm. piccoli; squame con appendice triangolare terminante in un ciglio breve, non spinoso e portante sui lati ciglia allungate, regolarm. pettinate; pappo ± sviluppato, ma sempre presente. Parecchie stirpi, che vivono nei prati aridi steppici (Brometalia) e come altri gruppi degli ambienti antropogeni mostrano scarsa caratterizzazione così da risultare spesso di significato controverso.",,,,,,,,,,,,,,,,,
5652934,Centaurea cineraria,Specie,"Piante perenni, bianco-tomentose; con fg. ± profondam. divise (in alcune stirpi anche ± intere), ma tendenzialm. a segm. allargati, ovali o ellittici, arrotondati all'apice; capolini grossi con involucro ovoide o subsferico; squame cigliate, però mai spinose. Gruppo ancora incompletam. noto e di difficile interpretazione. Anche qui (come in {t4210} e {t4216}-{t4218}) le stirpi basali appaiono essere quelle litorali, dalle quali se ne sono originate altre negli ambienti dell'interno. Il baricentro del gruppo è nella Sic, It. Merid. e Basso Tirreno, esso è collegato soprattutto (Sectio Pannophyllum Hayek con almeno una ventina di specie, tutte nella Balcania, Egeo ed Asia Minore) con specie orientali e sembra costituire una sene parallela a quella occidentale collegata a {t4208}. - Bibl.f Sommier S., N. Giorn. Bot. hai. 15: 81-90 (1894); Lacaita C, ibid. 22: 236-948 (1915).<br /><br />F. robusti, lignificati alla base, ramoso-corimbosi in alto. Fg. 1-2 pennatosette, a segm. da lineari a ovati, ottusi o arrotondati all'apice, separati da insenature arrotondate o troncate, per il resto variabili. Capolini mediocri con involucro ovoide di 9-12 X 10-15 mm; squame con appendice scura o quasi nera, decorrente sui lati e con ciglia ± pettinate; fi. rosso-purpurei; achenio 3 mm con pappo di 2 mm.<br /><br />Endem.<br /><br />(a) subsp. <strong>cineraria</strong> - Pianta 3-6 dm completam. bianco-lanosa con tomento persistente; fg. senza punteggiature evidenti; rami spesso gracili, ascendenti; fg. con divisioni di 1° ordine tendenzialm. riflesse¹ e portanti un maggior numero di segm. di 2° ordine sul lato rivolto verso la base che sull'altro lato; squame lesiniformi, con lati quasi paralleli salvo in punta; appendici scure o quasi nere. - Coste della Pen. ed Is. minori adiacenti: R; si presenta in gamodemi poco differenziati, raggruppabili come segue:<br />a) Fg. inf. e med. 2pennatosette, divise in segm. lineari a lineari-spatolati (2-2.5 X 8-14 mm); fg. sup. ridotte, ma sempre con lacinie lineari. - Anzio, Terracina, Sperlonga, Gaeta, Napol. al Fusaro e Miseno, Amalfi, Minori, Ischia, Capri, popolazioni a segm. molto assottigliati anche in Cal. a Praja ed all'Is. di Dino; va esclusa dal Nizzardo, Talamone, Argentario, Is. Ponziane, etc.<br />b) Fg. inf. sepplicem. pennatopartite con area centr. indivisa progressivam. allargata e segm. lat. interi, oblanceolati (4-6 X 10-13 mm); fg. sup. come a). - Golfo di Salerno alle Is. Li Galli o Sirenuse ( = var. sirenium Lacaita).<br />c) Fg. basali come in b); fg. cauline pure a segm. oblanceolati ovv. obovati. - Circeo ( = var. circae Sommier); popolazioni simili anche nell'Amalfitano alla Punta di Conca, Gola del Furore ed all'Is. Gallo Lungo.<br /><br />(b) subsp. <strong>umbrosa</strong> (Lacaita) Pign. ( = C. umbrosa Lacaita; C. cinerea Guss., Lojac. non Lam. vix C. cineraria subsp. cinerea Dostàl nomen invalidum) - Piante bianco-lanose oppure glabre-scenti e ± verdi, con fg. punteggiato-foveolate in superficie; f. robusti, elevati (3-10 dm); fg. con divisioni di 1° ordine secondate e con segm. di 2° ordine su entrambi i lati; squame ovate con lati arcuati; appendici brune o rosso-brune. - Coste della Sic. ed Is. Egadi: R; sì presenta in gamodemi poco differenziati, raggruppabili come segue:<br />a) Bianco- o grigio-tomentosa (40-75 cm); fg. inf. e med. 2pennatosette a segm. lineari o lineari-spatolati; capolini grossi. - Palermit. al M. Pellegrino, Alcamo, M. Cofano, Trapani, Sciacca, Is. Egadi (= C. ucriae Lacaita; C. cinerea var. siculo Lacaita).<br />b) Verde e subglabra (40-70 cm); fg. come in a); capolini diam. ½-⅔ di a) in,corimbo ampio. - Palermit. al M. Catalfano (= C. todari Lacaita).<br />c) Simile a b), ma minore (30-45 cm); inoltre vi è un certo dimorfismo tra le fg. basali a segm. oblanceolati e quelle cauline a segra, lineari. - Costa Sett. Sic. al Capo Tindari ( = C. todari fo. seguenzae Lacaita).<br />d) Verde-scura e subglabra, robusta (50-100 cm); fg. inf. lunghe fino a 20 cm, con segm. lat. di 1X5 cm; fg. cauline a segm. oblanceolati (5 X 20 mm); capolini grossi. - Palermit. in stazioni ombrose a Chiarandà e sul M. Gallo ( = C. umbrosa Lacaita).<br /><br />¹ Cioè ripiegate verso la base della fg. e facenti un angolo ottuso con la porzione distale (apicale) della rachide; in caso contrario (facenti angolo acuto, cfr. subsp. b) esse sono dette secondate.",611c43ee106af96e9ceae60385924b2e,467765,100,0,Rupi maritt.,3-10 dm.,Pianta perenne erbacea,9476070,Specie endemica,,Fiordaliso delle scogliere,Linneo,,4220,Giugno,Agosto,Ch suffr
46382933,Centaurea subtilis,Specie,"Pianta bianco-tomentosa (!). F. legnosi alla base, con abbondanti rami ascendenti. Fg. basali lunghe 3-5 cm, completam. divise in lacinie lineari (1 X 10 mm), per lo più 5, di cui 4 lat. in due paia opposte ed 1 apicale; fg. cauline simili, ma minori (2 cm), le sup. ± intere. Capolini isolati all'apice di rami fogliosi; involucro piriforme 8 X 12 mm; squame verdi, pubescenti sul margine; appendice bruniccia con spinula terminale di 1 mm e ciglia lat. più brevi; fi. rosso-vinosi 17 mm; acheni 3 mm con pappo lungo ⅓-½.<br /><br />Endem.<br />Garg. al M. S. Angelo, Mattinata e fin verso Vieste, Basil. pr. Matera: R.",a665740ad7a7dbc75f4113bcfe5207a2,6217469,900,100,Rupi calc.,2-3 dm,Pianta perenne erbacea,9476118,Specie endemica,,Fiordaliso garganico,Bertol.,,4226,Maggio,Giugno,H scap
8452932,Centaurea scabiosa,Specie,"Rz. discendente mono- o pluricefalo; f. eretto, angoloso, scabro nella metà sup., diviso in alcuni rami semplici o a volte ramosi. Fg. basali e cauline inf. (1-3 dm), picciuolate, pennatosette con segm. ovato-dentati, acuti, e mucrone cartilagineo, raram. indivisi; fg. cauline medie sessili, simili alle inf., le sup. pennatolobate con lobi ovato-lanceolati; lamina di consistenza un po' coriacea e colore verde intenso, scabre ai margini e su ambedue le facce per brevi setole, raram. ± glabre. Capolini (diam. 2-4 cm), singoli all'apice dei rami, ovato-globosi; squame involucrali verde-brunastre, con minute nervature, farinoso-tomentose, le più int. con appendici orbicolari lacero-pettinate, brune, le altre con appendici nere, triangolari, che non ricoprono del tutto le unghie delle squame sottostanti, decorrenti in un margine nero, pettinato-fimbriate con ciglia più lunghe del margine; fi. purpurei 25 mm; acheni lunghi 4 mm, bruni, pubescenti, ilo barbato, pappo biseriato lungo quasi quanto l'achenio.<br /><br />Eurasiat.<br />Alpi, App. Centr.<br /><br />In coll. con L. Chiapella Feoli (Trieste).<br /><br />(a) subsp. alpestris (Hegetschw.) Hayek - Fg. inf. con segm. obovati a oblanceolati; involucro diam. 20-40 mm (dimensioni massime per questo gruppo); squame con appendice molto sviluppata, ma generami, poco decorrente; pappo un po' più lungo dell'achenio. - Margini dei boschi: Alpi, dalla V. Venosta al Pieni. : R.<br />(b) subsp. scabiosa - Fg. inf. con segm. obovati a oblanceolati; involucro diam. 18-25 mm; squame ed appendici con parte decorrente allargata; pappo lungo circa quanto l'achenio. - Pascoli aridi, prati falciati: Alpi dalle Giulie alle Mariti.: C; App. Seti, e Centr. fino all'Abr.: R.<br />(c) subsp. fritschii (Hayek) Hayek - Fg. divise in segm. sottili ed allungati, spesso lineari; involucro diam. 15-18 mm; squame ad appendici con parte decorrente sottile; pappo lungo quanto l'achenio. - Boscaglie termofile a Roverella: Alpi Or. nel Triest., Friuli e Carnia: C.<br />(d) subsp. grinensis (Reuter) Hayek - Fg. c.s.; involucro diam. 14-15 mm; squame c.s.; pappo leggerm. più breve dell'achenio. -Prati aridi, boscaglie termofile: Alpi Or., soprattutto lungo il margine merid., dal Piave alle Grigne: C.<br /><br /><strong>Variab.</strong> - Sono frequenti individui di aspetto intermedio tra le varie subsp., forse ibridogeni. La <em>C. badensis</em> Tratta., citata per l'Italia, è probabilm. da eliminare, perché si tratta di pianta dell'area danubiana, il cui locus classicus è a Baden pr. Vienna. <em>C. calcarea</em> Jordan delle Alpi Piem. ha aspetto intermedio tra le subsp. (a) e (b). Per il resto, la forma dei segm. fogliari, lo sviluppo delle appendici (ricoprenti del tutto l'involucro o soltanto in parte) ed anche le dimensioni dell'involucro sono soggette ad un certo polimorfismo.",5ea1727dd3729ec2bd174c47fd098109,467676,2000,300,Prati e boscaglie aride.,5-12 dm,Pianta perenne erbacea,9476049,,,Fiordaliso vedovino,Linneo,,4207,Giugno,Agosto,H caesp
30702931,Centaurea triumfetti,Gruppo,"Piante grigio- o bianco-tomentose con f. semplici o poco ramosi; fg. intere o poco divise; capolini grossi (diam. all'antesi fino a 5 cm); fi. di due tipi: i centr. ± purpurei, gli esterni raggianti, con tubo biancastro, progressivam. roseo in alto e con lacinie azzurro-violette; pappo lungo ⅛-⅓ dell'achenio. - Anche in questo gruppo si possono riconoscere 2-3 specie, abbastanza ben distinte, alle quali si sovrappone un'intensa variab. geografica o ± casuale, che rende i limiti meno evidenti. - Bibl: DostàlJ., Presila 10: 57-69(1931). Citazione: «Stirps summopere ludibunda, et in falsas species perperam discerpta» (Bertol, Fl. Ital. 9: 439, 1853).",,,,,,,,,,,,,,,,,
