id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
3073974,"Calepina irregularis",Specie,"Pianta glabra e glaucescente, 2-4 dm (!). F. ascendenti, ramosissimi. Fg. basali spatolate, intere o pennato-partite (4-10 cm); fg. cauline 1X 3-5 cm, le sup. decisam. astate, 6 X 20 mm. Racemi allungati; petali bianchi, 2 mm; si-, liquette globose (diam. 2 mm) su peduncoli eretti lunghi 6-7 mm.<br /><br />Medit.-Turan.<br />In tutto il terr.: R.<br /><br />Il nome è di fantasia, senza relazione con quello dell'agostiniano Ambrogio Calepino (14351511), autore del famoso dizionario.",9b534b5cbd59a2885e5c01dfa034774f,595785,600,0,"Incolti erbosi.",,,Annuale,"T scap",2924001,"Miagro rostellato",,"(= C. corvini Desv.)","(Asso) Thell.",1198,Febbraio,Maggio
6973968,Crambe,Genere,,afbb30c29767a216fa0bda8a05942d20,61136,,,,,,,,,Crambio,,,Linneo,,,
874265,"Coronopus squamatus",Specie,"F. striscianti al suolo, ramosissimi. Fg. inf. bipennato-sette, lunghe fino a 8 cm, con segm. larghi 2-3 mm, i laterali per lo più con alcuni segm. minori su ciascun lato, questi talvolta dentati; fg. cauline semplicem. pennatosette. Racemi brevi; sepali 1 mm; petali bianchi 1.2 mm; fr. 4 X 2.5 mm con verruche alte 1 mm.<br /><br />Euri-Medit., divenuto subcosmop.<br />In tutto il terr. : C.",24753cf234526893c7be6695345ea0a8,46336553,800,0,"Marciapiedi, stazioni calpestate.","5-25 cm",,Annuale,"T rept",2884002,"Lappolina gramignola; Erba stella",,"(= C. procumbens Gilib.; C. meliti AH.; Senebiera coronopus [L.] Poiret)","(Forsskàl) Asch.",1151,Marzo,Maggio
7024264,"Coronopus didymus",Specie,"Simile a {t1151}, ma fg. lunghe 1-2 cm, per lo più con 9 segm. lunghi 2-3 mm, interi oppure i maggiori con 1 (2) denti sul lato rivolto verso l'apice; racemi allungati; fr. 2 X 1.5 mm, rugoso.<br /><br />Nordamer. divenuta Subcosmop.<br />Veneziano, Milano, Lecco e dint., Lig. occ. fino a Genova, Pen., soprattutto nelle città (non segnalata in Umbria, Basil., e Cal.), Sic, Sard., Malta, Procida, Ventotene: R.",79be76c0e909b13899447a11562177be,582135,1000,0,"Marciapiedi, stazioni calpestate.","5-25 cm",,Annuale,"T rept",2884003,"Lappolina americana",,"( = Senebiera pinnatifida DC.)","(L.) Sm.",1152,Marzo,Maggio
6533987,Coronopus,Genere,"Bibl: Muschìer R.,Bot.Jb. 41: 111-147(1908).",,71126,,,,,,,,,,,,Haller,,,
983977,"Cardaria draba",Specie,"Pianta brevem. pubescente, glauca (!). Rz. orizz. legnoso bruno-chiaro; f. eretto, striato-angoloso, corimboso in alto. Fg. lanceolate (1-3 X 2-7 cm), con base biauriculata e semiamplessicaule, dentellate sul bordo. Inflor. ricca e densa con peduncoli patenti di 1 cm; sepali verdi 1.5 mm; petali bianchi 2-2.5 mm; siliquette obcordate (3-4 mm).<br /><br />Medit-Turan.<br />In tutto il terr. : C.",933bd5845a2d0c5a116080eed4ed3801,595786,1000,0,"Incolti, ruderi, lungo le vie.","2-6 dm","Pianta perenne erbacea",,"G rhiz",2883901,"Lattona; Cocola",,"(= Lepidium draba L.)","(L.) Desv.",1150,Maggio,Luglio
6363983,"Lepidium latifolium",Specie,"F. eretto, giallastro, striato. Fg. inf. lanceolate a ovali-lanceolate (2-4 X 9-15 cm), acuminate, seghettate sul dorso, con nervi gialli prominenti di sotto; fg. cauline sup. simili, ma progressivam. minori. Inflor. ampia, ripetutam. ramosa, fogliosa in basso; peduncoli 2-4 mm; petali bianchi 1.5-1.7 mm, sepali 0.8-1 mm; siliquetta 1.8-2.2 X 2.5-3 mm.<br /><br />Pontico-Centroasiat.<br />Sparso ed incostante: Lig., Langhe, Polesine, Pen. (manca Laz., Abr., Pugl, Cal.), Sic, Sard. e Cors.: R., ora nat. in tutto il bacino Medit. e fino al Centroeuropa.",4d1891e1d787105e83d51aa8081ddb35,487130,1000,0,"Incolti sterili aridi e per lo più subsalsi.","5-8 dm","Pianta perenne erbacea",,"H scap",2883019,"Lepidio latifoglio",,,Linneo,1148,Giugno,Luglio
7904231,"Iberis pinnata",Specie,"F. eretto, ramoso alla base. Fg. inf. pennatosette, divise in lacinie larghe 1-2 mm, ottuse all'apice; fg. caul. dentate o con 1-3 lacinie laterali. Racemo contratto, ombrelliforme; sepali 1 mm; petali bianchi, 3-4 mm; siliquetta 2.5-3 X 2-3.5 mm, con stilo (1.5 mm) emergente.<br /><br />N-Medit. (Euri-).<br />Piem., Lomb., Lig., Tosc, Laz.: C. Segnalata anche nel Trapanese.<br /><br /><strong>Variab.</strong> - Le popolazioni laziali si differenzierebbero per avere siliquette ad ali acute (anziché ottuse) ed inflor. più allungata dopo l'antesi. Esse sono state descritte come var. rollìi Terracc., probabilm. identica alla var. ceratophylla (Reuter) Thell., già nota per l'Eur. occid.",afe4c37c6a5bd9b7c22b14500cd7b5f1,5151489,800,0,"Campi di frumento nell'area medit. e submedit.","8-25 cm",,Annuale,"T scap",2892016,"Iberide pinnata",,,Linneo,1129,Maggio,Giugno
9054227,"Iberis ciliata",Specie,"Simile a {t1127}, ma fg. cigliate, lineari-spatolate; lungam. attenuate nel picciuolo; siliquetta minore (5-6 mm).<br /><br />Diffusa nella Francia di SE, raggiunge il Nizzardo ed a Sospello sfiora (5 km) il nostro confine occidentale: R.<br /><br />Endem. Ibero-Provenzale.",b5ab5fad7ba8ffa177c9ba7532268877,5151373,1500,0,,"2-3 dm.",,Annuale,"T scap",2892014,,,,All.,1128/b,Giugno,Luglio
4204229,"Iberis umbellata",Specie,"F. alla base contorto, con rami fioriferi eretti, glabri e glaucescenti, in basso nudi e picchettati da cicatrici di fg. morte, in alto fogliosi e ramoso-corimbiformi. Fg. lineari-lanceolate (1-2 X 15-25 mm) ristrette d'ambo le parti, interissime, acute. Corimbi contratti, umbelliformi I (diam. 2 cm); sepali violetto-scuro di 2 mm; petali di colore vario, in prevalenza rosso-vinosi, ma anche (nello stesso corimbo) alcuni violetti, rosei o quasi bianchi, di 1.5x5 mm, arrotondati all'apice, quelli dei fi. periferici vessillari, 4x8-10 mm; siliquette 5-10 mm.<br /><br />Stenomedit. -Settentr.<br /><br />Alpi Mariti., Lig., Pen. sul versante occid. dalle A. Apuane alla Cal (Malaspera): R.<br /><br /><strong>Variab.</strong> - Una popolazione dell'Is. di Palmaria e Portovenere pr. La Spezia con fg. sup. allargate è stata descritta come var. latifolia De Not, ma non pare sia realmente distinta. Il Burnat (Fl. Alpes Marti. 1: 136) distingue in base al fr. due var., anch'esse di valore dubbio : var. brachyptera Burnat (corrispondente al tipo) con siliquette sub-ellittiche e la var. platvptera Burnat con siliquette suborbicolari.",41ce5969f0a1e82ae3c06410aae21d07,583870,1300,0,"Incolti erbosi aridi, radure.","3-5 dm",,Annuale,"T scap",2892013,"Iberide rossa",,,Linneo,1128,Maggio,Giugno
