id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
4761,"Euphorbia amygdaloides subsp. amygdaloides",Specie,,,,,,,,,,,,,,,,,,
4760,"Euphorbia amygdaloides subsp. arbuscula",Specie,,,,,,,,,,,,,,,,,,
4758,"Euphorbia pithyusa subsp. cupanii",Specie,,,,,,,,,,,,,,,,,,
4757,"Euphorbia pithyusa subsp. pithyusa",Specie,,,,,,,,,,,,,,,,,,
4756,"Euphorbia spinosa subsp. ligustica",Specie,,,,,,,,,,,,,,,,,,
4755,"Euphorbia spinosa subsp. spinosa",Specie,,,,,,,,,,,,,,,,,,
4754,"Euphorbia flavicoma subsp. flavicoma",Specie,,,,,,,,,,,,,,,,,,
4753,"Euphorbia flavicoma subsp. verrucosa",Specie,,,,,,,,,,,,,,,,,,
4752,"Euphorbia dulcis subsp. purpurata",Specie,,,,,,,,,,,,,,,,,,
4751,"Euphorbia dulcis subsp. dulcis",Specie,,,,,,,,,,,,,,,,,,
4750,"Euphorbia gasparrinii subsp. samnitica",Specie,,,,,,,,,,,,,,,,,,
4749,"Euphorbia gasparrinii subsp. gasparrinii",Specie,,,,,,,,,,,,,,,,,,
4748,"Euphorbia hyberna subsp. canuti",Specie,,,,,,,,,,,,,,,,,,
4747,"Euphorbia hyberna subsp. insularis",Specie,,,,,,,,,,,,,,,,,,
4746,"Euphorbia chamaesyce subsp. massiliensis",Specie,,,,,,,,,,,,,,,,,,
4745,"Euphorbia chamaesyce subsp. chamaesyce",Specie,,,,,,,,,,,,,,,,,,
4744,"Euphorbia flavicoma",Specie,"Rz. legnoso; f. eretti, erbacei, glabri o ± tomentosi. Fg. sessili, da linea-ri-lanceolate ad ovali-lanceolate (6-12 X 20-35 mm), glauche, fmem. dentellate. Ombrella a 5 raggi; brattee sup. gialle o giallo-aranciate alla fior.; involucro glabro, con 2-5 ghiandole ellittiche; capsula 3-3.5 mm; semi ovali-globosi, lisci o un poco rugosi.<br /><br /><div>S-Europ.-Pontica.</div><div>Alpi Or., App. Sett. e Centr. fino alla Camp.</div>",3202f9ac436aa3f84108030b743e3d3a,1144864,800,100,"Staz. aride.","8-50 cm","Pianta perenne erbacea",,"Ch suffr",4498038,"Euforbia verrucosa",,,DC.,2073,Aprile,Giugno
4743,"Euphorbia hyberna",Specie,"Rz. orizz. ingrossato; f. eretto, erbaceo, sparsam. peloso. Fg. ovali-ellittiche a ellittiche, cordato-amplessicauli o rotondate alla base, ottuse o rotondate all'apice, villose. Ombrella apicale a 5 raggi; brattee ovali o cuoriformi; ghiandole reniformi; capsula (5-6 mm) subsessile, tubercolata; semi 3.5 mm.<br /><br />La subsp. hyberna (Centro-Europ.-Subatl.) sembra mancare da noi.<br /><br />Bibl.: Cesca G., Giorn. Bot. Ital. 70: 542-543 (1963).<br /><br /><strong>Variab.</strong> - In Piem. pr. Givoletto (Torino) su serpentini vive una popolaz. caratterizzata da pubescenza più intensa e ghiandole ondulate sul bordo, descritta come <em>E. gibelliana</em> Peola, probabilm. riconducibile alla subsp. (b).",2c1abae706f1b27b15a27fc95e1f2d90,1144680,2000,100,"Boscaglie, forre ombrose.","3-6 dm","Pianta perenne erbacea",,"G rhiz",4498022,"Euforbia irlandese",,,Linneo,2066,,
