id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
4603,"Erodium acaule",Specie,"Simile a {t2013}, ma perenne, con rd. grossa, lignificata, verticale; rosetta ricca con fg. bipennatosette a contorno lanceolato (1-1.5 X 4-6 cm); petali ovati, rosei (6 X 10 mm); fr. con becco di 4-4.5 cm.<br /><br /><div>Medit.-Mont.</div><div>Lig., Tosc, Pen. (verso N fino alla Marsica - Subiaco - M. delia Tolfa -Civitavecchia), Sic, Sard, Cors.: R..</div>",dd5d614621c1f8d48bf8e6b3c3b9c6ca,5015434,1300,0,"Incolti, pascoli aridi.","5-12 cm","Pianta perenne erbacea",,"H ros",3927027,"Becco di gru a rosetta",,"( = E. romanum [Burm. f.] L'Hér.)","(L.) Becherer et Th.",2014,Marzo,Giugno
4607,"Erodium lebelii subsp. marcuccii",Specie,"Popolazioni annuali con fg. 1-2 pennatosette un po' vischiose, generalm. di piccole dimensioni; acheni privi di solco sotto la fossetta apicale e con becco di 18-24 mm. Tetraploide (2n = 40).<br /><br />Cors. alla spiaggia di Pero, Elba e probabilm. in Sard.",,,,,"Dune del litorale",,,,,,,,"(= E. marcuccii Parl.; E. bipinnatum Auct. p.p.)","Jordan subsp. (Parl.) Guittonneau",2013/d,,
4606,"Erodium cicutarium var. arenarium",Specie,"Popolazioni sempre annuali a fg. più profondam. divise (2-3 pennatosette). Tetraploide (2n = 40).<br /><br />Cors. e probabilm. coste occid. della Penisola.",,,,,"Dune ed incolti aridi pr. il litorale",,,,,,,,,"(L.) L'Hér. var. arenariunt(Jordan) Rouy",2013/b,,
4605,"Erodium salzmannii",Specie,"Popolazioni annuali a fg. profondam. divise (2-3 pennatosette), con acheni a peli inseriti su una caratteristica sporgenza a forma di unghia di colore nero. Diploide (2n = 20).<br /><br />Sard, Cors. e forse all'Elba.",8565bca757e0b4cc855af81baa955135,5015765,,,"Incolti aridi sabbiosi pr. il litorale",,,,,,,,"(= E. hirtum Jacq. non Forsskàl; E. cicutarium var. hirtum Moris; E. jacquinianum Fisch., M. et Av.-L.; E. staphylinum Bertol.; E. aethiopicum Brumh. et Th., non Geranium aethiopicum Lam.)",Delile,2013/c,,
4604,"Erodium cicutarium",Specie,"Popolazioni con fg. 1-2 pennatosette ed acheni provvisti di solco sotto la fossetta apicalc. Tetriploide (2n = 40).<br /><br />Comunissimo in tutt. il terr.",f5980e999018359fd069e0a8a8afde3a,45851314,,,,,,,,,,,"sensu stricto (= Geranium cicutarium L.)","(L.) L'Hér.",2013,,
4601,"Erodium cicutarium",Gruppo,"<div style='text-align: left;'><div>Specie polimorfa; la nostra descrizione si riferisce alla forma più comune in primavera, spesso indicata come var. praecox (Cav.) D.C. dalla quale per differenza possono essere individuate le altre entità. Rad. fittoftante; f. ridotto o subnullo (1-5 cm), eletto, con peli eretto-patenti. Fg. basali 1-2 X 3-5 cm con 9-11 segm. ovati, pennatopartiti. Cime 2-3 flore, ovv. talora un'ombrella a 3-4 raggi; brattee largam. ovali (2x3 mm); peduncoli di 8-10 mm, eretti solo durante l'antesi; sepali 5-6 mm; petali rosei 3x7 mm, acheni 4-5 mm, irsuti; becco di 3-4 cm.<br /><br /><div>Subcosmop. (Sinantrop.), ma probabilm. all'origine Euri-Medit.</div><div><br />In tutto il terr. : CC.</div><div><br /><strong>Variab.</strong> - Rispetto al tipo descritto più sopra, le popolazioni sviluppantisi in estate hanno generalm. f. elevato (1-6 dm, raram. più), abbondantem. foglioso; le fg. basali hanno misure maggiori e sono 2-3pennatoseite, spesso anche con contorno triangolare; le ombrelle 3-10flore. Le dimensioni dei petali variano moltissimo (4-11 mm), ed il colore può talora essere sbiadito, oppure può osservarsi una chiazza basale scura. Spesso singole popolazioni presentano aspetto molto omogeneo (p. es. macrante, ow. micrante) tuttavia mancano limiti netti; secondo Guittonneau si tratta di un gruppo collettivo comprendente parecchie specie, alcune delle quali non ancora chiaram. individuate. Per quanto riguarda la flora italiana questo Autore dà l'inquadramento seguente:</div></div></div>",,,1300,0,"Incolti aridi, bordi delle vie, vigne, soprattutto in ambienti aridi e su suoli sabbiosi.","3-60 cm",,Annuale,"T scap",3927025,"Becco di gru comune; Cicutaria",,,"(L.) L'Hér.",,Marzo,Novembre
4600,"Erodium moschatum",Specie,"Pianta con odore aromatico (!). F. ascendente con densi peli patenti, striato. Fg. semplicem. pennate lunghe 7-15 cm, con 8-12 segm. ovati o ellittici (1-1.5 X 2-3 cm), irregolarm. seghettati sul bordo. Ombrelle 5-12 flore su peduncoli di 10-20 cm, spesso ripiegati all'apice; brattee ovate, membranose 2x4 mm; fi. su peduncoli di 1 cm, spesso ripiegati alla frutt.; sepali 6-8 mm, all'apice acuminati, ma senza una vera e propria resta; petali violacei, 13-14 mm; acheni (6 mm) bruni con peli eretto-patenti giallastri di 0.5 mm; becco di 3-5 cm.<br /><br />Euri-Medit.<br />Lig., Pen., Sic, Sard. e Cors.: C; anche in Istria, Friuli, Ven., Treni., Emil, Bresc, però spesso solo nat.",232f50aa7cf29d5415eb2beb6f7576a3,392839,1300,0,"Incolti, vigne, lungo le vie.","2-8 dm",,Annuale,"T scap",3927026,"Becco di gru aromatico",,,"(L.) L'Hér.",2012,Gennaio,Maggio
4599,"Erodium alpinum",Specie,"Rz. legnoso, all'apice coperto da squame brune larghe fino a 5 mm; f. erbacei ascendenti. Fg. basali con picciuolo di 4-7 cm e lamina a contorno ovale (2-3 X 3-5 cm) completam. divisa in 7-9 segm. pennato-partiti o pennatosetti, intercalati a lacinie più brevi (1-3 mm). Ombrella 6-8 flora portata da un peduncolo allungato (8-12 cm); brattee lanceolate, membranacee (1.5 X 5-8 mm); fi. su peduncoli di 2 cm; sepali 5-6 mm con mucrone apicale di 1-1.5 mm; petali violetti 10-14 mm; achenio 10 mm, ispido, con fossette piccole, senza creste; becco 4-6 cm.<br /><br />Endem.<br />App. Centr. (Sibillini, Gr. Sasso, Majella, Morrone, Simbruini, Marsica) e Basil. (Rotonda di Salvano e pr. Viggiano): R.<br /><br />È il rappresentante più occidentale di un gr. di specie distribuite dalla Grecia alla Siria ed Armenia.",091682758e97d44937be0984520696c9,5015444,1800,1300,"Pascoli aridi (calc).","10-20 cm","Pianta perenne erbacea",,"Ch suffr",3927021,"Becco di gru appenninico","Specie endemica","(= E. petraeum Ten. non Willd.; E appenninum Guss. et Ten.)",L'Hér.,2010,Giugno,Luglio
4598,"Erodium nervulosum",Specie,"Rz. legnoso ingrossato; f. erbacei ascendenti, lungam. villosi. Fg. con picciuolo di 3-8 cm e lamina ovata (3-5 cm), crenata o irregolarm. lobata; stipole ovali. Ombrelle 3-14 flore, con peduncolo comune lungo 2-3 volte la fg. ascellante; brattee brune, subrotonde; sepali 5-6 mm; petali rosei, 10-12 mm; achenio (6 mm) con setole biancastre; becco 4-6 cm.<br /><br />Endem.<br />It. Merid. (verso N fino a Bari ed Avellino): C; indicato pure dal M. Catalfano in Sic.<br /><br />Gussorie G. (1787-1866), autore d'importanti opere sulla flora della Sicilia e del Meridione.",102239c78fb4e4d0368eed478be083f4,5015648,600,0,"Sabbie e rocce calc., incolti.","1-6 dm","Pianta perenne erbacea",,"Ch suffr",3927001,"Becco di gru di Gussone","Specie endemica","(= E. gussonii Ten.)",L'Hér.,2009,Aprile,Maggio
4597,"Erodium glaucophyllum",Specie,"Pianta pubescente e glauca. Fg. con lamina ovata (fino a 3 X 4 cm), ± lobata o incisa e crenulata e picciuolo lungo 1-3 volte questa. Peduncoli (1-5 cm) 2-4fiori, eretti; brattee scure, triangolari, lunghe 1-2 mm; peduncoli fior. 1-2 cm; sepali ovati (2.5 X 6 mm), brevem. (1 mm) mucronati; petali violacei obovati (fino a 8 X 10-12 mm); becco di 8 cm.<br /><br /><div>Saharo-Sind.</div><div>Avv.fra Taranto e Metaponto.<br /><br />Da noi solo la var. cinerascens Chevallier.<br /><br />Bibl.: Chiesa S., Inforni. Bot. Ital. 1: 108(1969).</div>",74c338c3f2d8896817131ddbcbfde58b,2885856,,,"Incolti aridi, (lit.).","5-45 cm",Cespuglio,,"Ch suffr",3927035,"Becco di gru africano",,,"(L.) L'Hér.",2000,Marzo,Aprile
