id,name,taxa_kind_id_name,description,col_id,eol_id,"Nome Italiano",Portamento,Altezza,"Tipo di vegetazione","Limite altitudinale inferiore","Limite altitudinale superiore","Inizio fioritura","Fine fioritura",Autore,Diffusione,"Ciclo riproduttivo","Forma biologica","Codifica numerica",Progressivo,Sinonimi
3072228,"Phyllostachys bambusoides",Specie,"Simile a {t5294/VI}, ma internodi in sez. a 3-4 angoli; fg. larghe 12-15 mm, variegate in bruno o violetto; ligula 2 mm, con peli di 5-7 mm.<br /><br />Giaoppone.",c66546a26d9b20a9a1600a93af9a3ea1,1115497,,Cespuglio,"5-30 m","Coltiv. e talora subspont.",,,,,"Sieb. et Zucc.",,,"P scap",0417003,5294/VII,"( = Ph. quiloi A. et C. RiviÃ¨re)"
3822227,"Phyllostachys mitis",Specie,"Culmi elevati, diritti, rigidi, alla base ingrossati (diam. fino a 20 cm), di colore verde-glauco, in seguito giallastri; fg. ruvide, con guaine screziate di porporino e lamina lineare (1-1.3 X 10-15 cm); ligula breve (1 mm), screziata di porpora.<br />Giappone.",c811ae3d709646296ea91d75a1270807,,,Cespuglio,"4-15 m","Coltiv. e talora subspont.",,,,,"A. et C. RiviÃ¨re",,,"P scap",0417002,52941/VI,
4372226,"Phyllostachys nigra",Specie,"Culmi robusti, eretti; fg. con guaine violacee e lamina lanceolato-lineare (1 X 6-12 cm), cigliata, almeno sul bordo; ligula di 2 mm, con lunghi peli; sp.tte 2flore con rudimento di fi. sterile; glume e lemmi pelosi; talvolta fiorisce anche da noi (con un ciclo circa trentennale).<br /><br />E-Asiat.",a1f1ec1628b933995d37a1293c7a10e1,1115500,,Cespuglio,"2-7 m","Coltiv. e talora subspont.",,,,,"(Lodd.) Munro",,,"P scap",0417001,5294/V,
4742225,"Bambusa angustifolia",Specie,"Simile a {5294/II}, ma piÃ¹ gracile; fg. variegate, dentellate, di 0.5 X 5-10 cm.<br /><br />Giappone.",9a50e9f0135dcb3aa96bad1cdfbe69ab,,,Cespuglio,"3-5 dm","Coltiv. nei giardini e talora subspont.",,,,,Mitford,,,NP,0424002,5294/III,"(= B. vilmorini Hort.)"
2972224,"Bambusa pygmaea",Specie,"CulmiÂ  robusti, ma brevi, generalm. violetti; fg. con guaina glabra e lamina lanceolata (1-1.5 X 7-10 cm), ruvida sul margine e generalm. pubescente nella metÃ  inf.; ligula ridotta ad un anello di peli.<br /><br />Giappone.",ddb3597a75b3f05f05f3287e47859bbd,,,Cespuglio,"2-4 dm","Coltiv. nei giardini e talora subspont. ",,,,,Miq.,,,NP,0424001,5294/II,"(= Arundinaria pygm. Asch. et Gr.)"
4262223,"Cymbopogon hirtus subsp. villosus",Specie,,,,,,,,,,,,,,,,,,
662222,"Cymbopogon hirtus subsp. hirtus",Specie,,,,,,,,,,,,,,,,,,
642221,"Bothriochloa ischaemon",Specie,"Densam. cespugliosa; culmo ascendente, glabro. Fg. con guaina pubescente (almeno da giovane) e lamina larga 2 mm, portante sui bordi nella zona inf. peli patenti, nel resto scabra, in estate Â± ricurva a semicerchio e di color rosso-mattone; ligula di peli. Inflor. formata da (2)4-6(10) spighe digitate, lunghe 3-5 cm; sp.tte appaiate, l'una sessile con fi. inf. ridotto al lemma sterile e fi. sup. ermafr., l'altra peduncolata, con 1-2 fi. â™‚ ovv. abortivi; glume violacee 5 mm, con peli lanosi bianchi; lemma fertile ridotto ad una resta contorta e ginocchiata di 12-15 mm; antere violette 1.5 mm.<br /><br />Termocosmop.<br />It. Sett. e Centr.: C; It. Merid: R.",69e06a630d5e345465529667ff2ef9fc,1114803,"Barboncino digitato","Pianta perenne erbacea","3-5 dm","Pendii aridi.",0,300,Giugno,Novembre,"(L.) Keng",,,"H caesp",0134701,5289,"(= Andropogon ischaemon L.; A. ischaemum Auct.)"
9362220,"Bothriochloa pertusa",Specie,"Simile a {5289}, ma 10-15 spighe (raram. anche piÃ¹), delle quali alcune digitate all'apice del culmo, altre inserite un poco piÃ¹ sotto; glume con una fossetta approfondita sul dorso.<br /><br />Paleotrop.<br />Sic. occid. dal M. Pellegrino al M. S. Giuliano: R.<br /><br /><strong>Nota</strong> - Tende a frammentarsi in una serie di razze geografiche; le popolazioni esistenti da noi formano probabilm. una stirpe endemica, indicata come var. panormitana (Pari.) Maire et Weill.",a216176eb479bfdcebc07c8e07b3d1df,1114796,"Barboncino palermitano","Pianta perenne erbacea","3-5 dm","Pendii aridi, macchie.",0,600,Settembre,Dicembre,"(L.) Camus",,,"H caesp",0134702,5290,"( = Holcus pert. L., incl. Andropogon panormitanus Pari.)"
7712219,"Sorghum bicolor",Specie,"Culmo robusto, eretto, pieno, diam. fino a 10 mm. Fg. lanceolate, larghe 2-7 cm. Pannocchia molto sviluppata (2-4 dm); cariosside sferica a obovoide 3-6 mm.<br /><br />Paleotropic.<br />Coltiv. soprattutto nella Pad. ed in Tosc e raram. subspont.<br /><br /><strong>Nota</strong> - Cereale di grande importanza per i paesi tropicali (soprattutto in Africa), ma da noi di coltura limitata: viene utilizzato soprattutto come nutrimento per il pollame ed altri uccelli, come foraggio e per la confezione di scope. Assai polimorfo: in Italia sono note alcune sottospecie differenziabili in base alla forma delle sp.tte fruttifere; facilm. riconoscibili sono la subsp. cernuum (Ard.) con pannocchia a rami penduti (Saggina bianca) e la subsp. saccharatum (L.) con pannocchia ampia a sp.tte spaziate (Saggina da scope, un tempo usata anche per ricavarne zucchero); la subsp. bicolor ha pannocchia densa, eretta.",4588652d275d008d277de1e40d380e34,1115166,"Sorgo coltivato; Melica, Saggina",,"1-3 m","Incolti, campi.",0,500,Agosto,Ottobre,"(L.) Moench",,Annuale,"T scap",0134903,5287,"(= S. vulgare Pers.)"
