id,name,taxa_kind_id_name,description,col_id,eol_id,Nome Italiano,Portamento,Altezza,Tipo di vegetazione,Limite altitudinale inferiore,Limite altitudinale superiore,Inizio fioritura,Fine fioritura,Autore,Diffusione,Ciclo riproduttivo,Forma biologica,Codifica numerica,Progressivo
"484","Salvia pratensis subsp. bertolonii (Vis.) Briq","Specie","","","","","","","","","","","","","","","","",""
"483","Salvia pratensis subsp. haematodes (L.) Briq.","Specie","","","","","","","","","","","","","","","","",""
"482","Salvia pratensis subsp. pratensis","Specie","","","","","","","","","","","","","","","","",""
"481","Salvia ceratophylloides","Specie","Simile a 3270, ma odore sgradevole intenso; fg. pennatopartite, le inf. a divisioni acute, dentate sui lati; corolla allungata.","9e4f0dc23c1c387d3cda2d7b17ea6787","6341852","Salvia incisa","Pianta perenne erbacea","","Pendii aridi.","0","700","Maggio","Ottobre","Ardoino","Specie endemica","","H scap","7290041",""
"480","Salvia pratensis","Specie","F. eretti, con peli riflessi. Fg. basali con picciuolo di 3-4 cm e lamina ovata (3-4 X 6-9 cm) con 4-6 denti grossolani per lato ed abbondanti crenature; pag. sup. rugosa, l'inf. irsuta; fg. cauline sessili, minori (2-2.5 X 4-7 cm), con 7-11 denti per lato e base arrotondata o semiab-bracciante. Inflor. semplice o con rami brevi, diritti; verticillastri 4-6fiori; peduncoli 1-2 mm; calice con tubo di 4-6 mm e denti di 3-4 mm; corolla violetta (15)20-30 mm.</p>
<strong>Osserv.</strong> - Il reale significato delle subsp. sopra riportate non è chiaro. Alcuni Autori le considerano addirittura buone specie, altri invece le riducono all'espressione di semplice variabilità individuale. L'unica nota critica in proposito risale al secolo scorso (Hirc D., Oesterr. Bot. Z. 31:251 (1881), e sarebbe favorevole a riconoscere il rango specifico a S. bertolonii, tuttavia, come osserva il Poldi-ni che me l'ha segnalata, in questo caso tutte le <em>S. pratensis</em> del Carso Triestino e delle Prealpi Friulane andrebbero attribuite e questa e non rimarebbe più spazio per la subsp. (a). Il problema va dunque riesaminato.","047695b7071a96293a177465de6244e8","579406","Salvia comune","Pianta perenne erbacea","3-5 dm","Prati aridi.","0","1600","Maggio","Agosto","Linneo","","","","7290021",""
"479","Salvia virgata","Specie","Simile a 3270, ma inflor. con rami regolarm. arcuato-eretti; calice 7-10(-13) mm; corolla blu-violetta 12-20 mm.","e267523218f1a706f67266560b576000","480285","Salvia arquata","Pianta perenne erbacea","3-5 dm","Pascoli e incolti aridi.","0","1000","Giugno","Agosto","Jacq.","","","H scap","7290033",""
"478","Salvia multifida","Specie","Simile a 3273, ma minore; fg. basali profondam. incise o quasi completam. pennatosette, con segm. dentati o incisi; corolla di un celeste chiaro, 12-14 mm.</p>
<strong>Osserv.</strong> - È dubbio se si tratti di buona specie o forse di ibrido fissato (forse 3270 X 3273, come ipotizza Montelucci, in litt.): comunque essa, sempre secondo questo A., almeno attorno a Roma appare ben isolata rispetto a 3273, e non tende a sfumare verso quella anche crescendo assieme. Si presenta in popolazioni compatte presso il mare o fino a 30-40 km dalla costa, su pendii soleggiati rivolti a SW.","34e0581f0eed7c1e8edb15fd706e9a12","6342653","Salvia celestina","Pianta perenne erbacea","1-3 dm","Incolti erbosi","0","600","Marzo","Giugno","S. et S.","","","H scap","7290042",""
"477","Salvia verbenaca","Specie","F. eretti, ramosi in alto, con peli patenti e peli ghiandolari. Fg. basali con picciuolo di 2-5 cm e lamina ellittica (3-4 X 6-10 cm), con 3-4 lobi ottusi, ± profondi per lato; fg. cauline progres-sivam. sessili e ovali (3-4 X 4-6 cm), con lobi più profondi oppure pennatosette. Inflor. allungata, generalm. semplice; brattee verdi, poco più brevi del calice, questo di 6-7 mm con peli lanosi biancastri soprattutto nelle insenature fra i denti; corolla violetta, raram. azzurrina, rosea o pallida, 6-10(-15) mm.</p>
<strong>Variab.</strong> - Le fg. basali presentano incisioni profonde ⅓-⅔ della semilamina, più raram. esse sono soltanto crenate. La corolla varia in colore dal roseo e celeste pallido al violaceo e violetto cupo; essa talora sporge appena dal calice, talora è lunga il doppio di questo o più; anche la forma delle labbra e la lunghezza dello stilo sono variabili. I caratteri della corolla sono correlati alla biologia della riproduzione: fi. ermafroditi presentano corolla grande, mentre i fi. a corolla piccola sono femminili oppure (soprattutto alla fine della stagione) autoimpollinantisi. Le molte entità descritte (<em>S. clandestina</em> L., <em>S. horminoides</em> Pourret, <em>S. neglecta</em> Ten., <em>S. oblongata</em> Vahl, <em>S. praecox</em> Savi, <em>S. hiemalis</em> Brot. etc.) sono probabilm. solo dei tipi estremi.","cf0833541696f0a2990caa453462d479","579419","Salvia minore","Pianta perenne erbacea","2-5 dm","","0","1400","Gennaio","Dicembre","Linneo","","","H scap","7290029",""
"476","Salvia viridis","Specie","F. eretto, generalm. ramoso e con peli patenti. Fg. lanceolate a ova-to-lanceolate (1-1.5 X 3-4 cm), regolami, crenulate sul bordo. Inflor. dense, erette, con verticillastri 4-8flori; brattee 10-12 mm, le sup. spesso ± colorate in violetto e formanti un ciuffo apicale; calice 7-9 mm; corolla rosea o violetta 14-18 mm.","986cbb66f328d262f38af063399fdb02","6342307","Salvia annuale","","2-5 dm","Incolti e pascoli aridi","0","1000","Aprile","Maggio","Linneo","","Annuale","T scap","7290034",""
"475","Salvia pendula","Specie","Fg. ovate o oblanceolate, irregolarm. crenate o dentate, con base cuoriforme. Inflor. incurvata all'apice prima della fioritura; calice 5-8 mm; corolla 12-16 mm. - Pianta dell'Europa sudorient., avventizia a Trieste alla fine del sec. scorso, ma ora scomparsa.","6353adf2b83dcc06b24e7bc312e089ea","0","","Pianta perenne erbacea","4-15 dm","","","","Maggio","Agosto","Vahl","","","","",""
"474","Salvia nemorosa","Specie","Pianta grigio-tomentosa (!). F. eretti, ramosi. Fg. tutte cauline, con picciuolo di 1-2 cm; lamina strettam. lanceolata 1-1.5 X 4-5 cm, acuta, regolarm. crenulata sul bordo. Inflor. densa, cilindrica, brattee ovato- o lanceolato-acuminate (6-9 mm), violacee all'apice; calice 5-6 mm; corolla violacea, raram. rosea, 8-12 mm.","3f8f8a554211235e08562cf6981f8c2f","0","Salvia nemorosa","Pianta perenne erbacea","3-6 dm","Ruderi, incolti aridi.","0","600","Agosto","Settembre","Linneo","","","H scap","7290025",""
"473","Salvia glutinosa","Specie","Pianta vischiosa e con odore arom. nell'inflor. (!). Rz. legnoso, bruno; f. eretto, generalm. semplice, con peli patenti. Fg. inf. con picciuolo di 6-8 cm scanalato di sopra e lamina astata (6-8 X 10-13 cm), sparsane pubescente e con denti ottusi. Verticillastri 2(-6)flori; calice 12-16 mm; corolla con tubo biancastro (13-17 mm) e labbra grandi (fino a 20 mm), gialla con strie o puntini violetti.","12bf7fb5309d7d4a40fc1e8970cad3e4","485078","Salvia vischiosa","Pianta perenne erbacea","4-6 dm","Boschi di latifoglie","100","1600","Giugno","Settembre","","","","H scap","7290018",""
"472","Salvia splendens","Specie"," Pianta (da noi) generalm. annua, glabra. Fg. ovato-acuminate (2-4 x 3-6 cm), dentellate. Verticillastri 2fiori; brattee arrossate, caduche; calice 10-15 mm, arrossato; corolla generalm. 4-5 cm, scarlatta.","d8e655eb39d0f682a658d1f4cad64059","579412","Salvia rossa","Cespuglio","2-5 dm","Coltiv. per ornam. Sporadicam. inselvatichita","","","Luglio","Ottobre","Sellow","","Annuale","T scap","7290040",""
"471","Salvia pinnata","Specie","Pianta bianco-lanosa e vischiosa. Fg. (5-8 cm), composte con 2-4 paia di segm. laterali e segm. apicale ovato.<br />Inflor. semplice con verticillastri 4-6fiori; peduncoli 8-15 mm; calice 10-15 mm; corolla purpurea 25-35 mm.","3b1fc55bd51c6f0e6c269aa962f5ed93","2894201","","Pianta perenne erbacea","4-10 dm","","","","","","Linneo","","","H ros","7290010",""
"470","Salvia aethiopis","Specie","f. e fg. (soprattutto di sotto) bianco-lanosi. F. eretto, con rami regolarm. arcuati. Fg. basali in rosetta con picciuolo di 3-10 cm e lamina a contorno ovale (3-8 X 9-16 cm), irregolarm. e grossam. dentata sul bordo. Brattee reniformi con lunga resta all'apice, le fior, di 6-8 mm; calice con tubo lanoso di 6-8 mm e denti (1-2 mm) spinulosi; corolla bianca, 12-14 mm.","19d4d58ed1e278f2d29785372fd2640f","579392","Salvia etiopide","Pianta perenne erbacea","4-10 dm","Pascoli aridi.","100","1000","Maggio","Giugno","Linneo","","","H scap","7290016",""
"469","Salvia argentea","Specie","Pianta ghiandolosa con odore sgradevole (!). F. eretto, ramoso. Fg. basali densam. lanose, con picciuolo di 2-5 cm e lamina di 3-6 X 6-9 cm, crenata o lobata sul margine, le sup. progressivam. glabrescenti e ridotte. Verticillastri 4-8flori; brattee reniformi (15 X 10 mm) con mucrone apicale di 3-5 mm, raram. venate di violetto; calice con tubo di 7 mm e denti (2-5 mm) mucronulati;  corolla  bianca  (25-35mm) sul labbro sup. con peli violetti.","09bdca6efc510f244821a53504270d1a","485332","Salvia argentea","Pianta perenne erbacea","3-8 dm","Pascoli, incolti aridi.","0","1400","Giugno","Luglio","Linneo","","","H scap","7290015",""
