id,name,taxa_kind_id_name,description,col_id,eol_id,"Nome Italiano",Portamento,Altezza,"Tipo di vegetazione","Limite altitudinale inferiore","Limite altitudinale superiore","Inizio fioritura","Fine fioritura",Autore,Diffusione,"Ciclo riproduttivo","Forma biologica","Codifica numerica",Progressivo,Sinonimi
3071588,"Onobrychis arenaria subsp. taurerica",Specie,,,,,,,,,,,,,,,,,,
691587,"Onobrychis arenaria subsp. arenaria",Specie,,,,,,,,,,,,,,,,,,
681586,"Onobrychis arenaria subsp. tommasini",Specie,,,,,,,,,,,,,,,,,,
691585,"Onobrychis alba subsp. laconica",Specie,,,,,,,,,,,,,,,,,,
641584,"Onobrychis alba subsp. tenoreana",Specie,,,,,,,,,,,,,,,,,,
651583,"Onobrychis alba subsp. echinata",Specie,,,,,,,,,,,,,,,,,,
641582,"Onobrychis alba subsp. alba",Specie,,,,,,,,,,,,,,,,,,
601581,"Onobrychis aequidentata",Specie,"Simile a {t1965}, ma racemi con peduncoli allungati; corolla maggiore (10-14 mm); legume con denti dorsali appiattiti e ± fogliacei, triangolari, molto maggiori di quelli . delle facce.<br /><br /> E-Medit. (Steno-).<br />It. Merid. (verso N fino a Campobasso-Avellino-Napol.-Capri) e Sic: C.",265b7b4e491911618d995d6fde5fc465,704029,"Lupinella con denti appiattiti",,"1-4 dm","Incolti aridi.",0,800,Aprile,Maggio,"(S. et S.) D'Urv.",,Annuale,"T scap",3780023,1966,"( = O. foveolata DC; O. eretica Desv.)"
5471580,"Onobrychis caput-galli",Specie,"F. ramosissimi, prostrato-ascendenti. Fg. con 9-13 segm. linea-ri-spatolati (1-3 X 7-18 mm). Racemi 2-7flori, alla fior, di 1-2 cm su peduncoli di 2-4 cm, alla frutt. allungati (8-10 cm); calice con tubo di 1.5 mm e denti di 3-4 mm; corolla 7-9 mm; legume 6 X 8 mm con numerosi denti a forma di aculeo, subcilindrici, quelli del dorso simili a quelli inseriti sulle facce, lunghi fino a 4 mm.<br /><br />Steno-Medit.<br />Lig., Pen. (verso N fino alla Via Emilia) e Sic: C.",b229b5a83ad384f9458a9993ee90594c,704032,"Lupinella cresta di gallo",,"1-6 dm","Macchie, incolti aridi.",0,800,Aprile,Maggio,"(L.) Lam.",,Annuale,"T scap",3780022,1965,
6811579,"Onobrychis arenaria",Specie,"Simile a {t1964}. ma con habitus xeromorfo: fg. a 19-21 segm. strettam. lanceolati (2-5 X 10-25 mm). subglabri; racemi lineari (all'antesi. quando le corolle sono patenti, larghi fino a 2 cm. in seguito 1-1.5 mm) su peduncoli di 1-3 dm; calice 5-6 mm. con tubo glabro e peli brevi (0.3-0.4 mm) solo sul bordo e sui denti; corolla di colore pallido o biancastro con vene purpuree.<br /><br />Sud-europ.-Sudsib.",3c2413afb650ada87d311833e6fb07af,704030,"Lupinella dei colli","Pianta perenne erbacea","3-6 dm","Prati aridi, soprattutto nell'area submedit., su calc.",0,800,,,"(Kit.) DC.",,,"H scap",3780018,1963,
