id,name,taxa_kind_id_name,description,col_id,eol_id,Limite altitudinale superiore,Limite altitudinale inferiore,Tipo di vegetazione,Altezza,Portamento,Codifica numerica,Diffusione,Ciclo riproduttivo,Nome Italiano,Autore,Sinonimi,Progressivo,Inizio fioritura,Fine fioritura,Forma biologica
30767,Ranunculaceae,Famiglia,"Piante per lo più erbacee. I fi. del tipo più arcaico sono aciclici, dal quale derivano fi. spiralati e fi. ciclici; perianzio formato da 1 verticillo, oppure 2 verticilli di elementi fra loro eguali, raram. anche diploclamidato, attinomorfo (zigomorfo nei gen. 161-163); caratteristica è la comparsa di fg. nettarifere, nei gruppi più differenziati trasformate in veri e propri petali; stami per lo più spiralati; carpelli id., nel fr. trasformati in follicoli o acheni. La fam. è diffusa principalm. nelle zone temperate e fredde dell'emisf. boreale. Frequenti le specie velenose o medicinali (alcaloidi, glucosidi).<br /><br />L'interpretazione del fi. non è immediata; presentiamo pertanto un inquadramento generale rigoroso, fondato sulle analogie degli organi ed una chiave empirica per il facile riconoscimento dei generi; in quest'ultima, come pure nella trattazione delle specie, si userà una nomenclatura semplificata (anche se inesatta), cioè: sepali = tutti i segm. del perianzio di colore prevalente verde; petali - tutti i segm. del perianzio variam. pigmentari e con funzione vessillare.<br /><br />Il perianzio è costituito di regola da due serie di elementi o da due verticilli; gli elementi esterni vengono chiamati tepali, gli interni (che hanno funzioni secretive) nettari.",1a7fe0042780816d793d0c47fbabad93,,,,,,,,,,,,,,,,
13813526,Ceratocephalus falcatus,Specie,"F. eretto, semplice, unifloro. Fg. basali ripetutam. divise in lacinie lineari ottuse, le cauline simili, ma ridotte. Fi. (diam. 1-1.5 cm) con 5 sepali; petali 5, ovali (3 X 5-7 mm); acheni (8-10 mm) a becco allungato, formanti una testa di 1 cm.<br /><br />Paleotemp. (Archeofita?).<br />Piem., Mantov., Parma, Lig., Firenze, Marche (Fossombrone), Umbria, Abr., Foggia: R. ed incostante.",033997fae09b76fc8432c793a754c8e1,17009636,1500,0,Infestante le colture di cereali.,2-10 cm,,2546901,,Annuale,Ranuncolo falcato,(L.) Pers.,,819,Febbraio,Marzo,T scap
6043758,Ceratocephalus falcatus subsp. incurvus,Specie,,,,,,,,,,,,,,,,,,
723757,Ceratocephalus falcatus subsp. falcatus,Specie,,,,,,,,,,,,,,,,,,
723525,Ranunculus,Genere,"Genere molto ricco di specie, parecchie delle quali endemiche o frammentate; molti gruppi critici (es. {t744}-{t748}, {t749}-{t757}, {t784}-{t785} etc.), che nella flora montana Centro- e Sudeuropea hanno sviluppato un'elevata diversità. Per la determinazione in generale sono necessari tanto fi. nel pieno dell'antesi che fr. maturi. Le sp. {t810}-{t818} sono profondamente differenziate come ecologia e portamento (piante acquatiche con f. flaccidi) e vengono talora interpretate come un genere a se stante; tuttavia i caratteri più significativi dal punto di vista tassonomico sono in comune con le specie precedenti: il genere viene dunque ripartito tra due sottogeneri con chiavi analitiche distinte, la prima qui sotto e la seconda a pag. 327-328.",7543b41a0258c9410a82f5923fe8a441,37662,,,,,,,,,Ranuncolo,Linneo,,,,,
8503627,Batrachium,SubGenere,"Piante erbacee annue o perenni (spesso i due adattamenti nella stessa specie); f. flaccidi, generalm. natanti; fg. inf. divise in lacinie capillari (laciniate) oppure le sup. spesso con lamina ben sviluppata (laminate); i due tipi si possono incontrare anche sulla stessa pianta; fi. solitari ascellari e terminali; petali bianchi alla base con una chiazza gialla ed una fossetta nettarifera di forma ± ovale in {t813},{t817} e {t818}, circolare in {t814} ed a mezzaluna nelle altre sp.; stami generalm. 5-30 (40), carpelli ± 12-60 (80); fr. ad achenio. Tutte le sp. vivono in acqua o in ambienti periodicam. inondati; esse mostrano una grande plasticità fenotipica, spesso correlata alle condizioni morfologiche di crescita, e sono di difficile riconoscimento. Oltre alla differenza fra fg. capillari e fg. laminate l'aspetto della pianta varia notevolm. a seconda delle condizioni di crescita; piante sommerse hanno il f. molle ed allungato e fg. capillari con lacinie di 2-5 mm, piante viventi in emersione hanno f. brevissimo (generalm. 3-6 cm), debole, ± prostrato e fg. laminate oppure capillari con lacinie brevi e ± rigide: sul portamento e la forma delle fg. non si può dunque basare nessuna distinzione certa. Le differenze rispetto a {t737}-{t809} sono facilm. percettibili (almeno per quanto riguarda le sp. italiane), però manca in Batrachium anche un solo carattere del tutto proprio, quindi conviene mantenere i due gruppi entro uno stesso genere, sia pure con chiave analitica e trattazione differenziata. A causa delle difficoltà intrinseche, le sp. italiane di questo gruppo sono ancora imperfettam. conosciute, le sinonimie e distribuzioni riportate hanno solo valore indicativo.<br /><br />Bibl.: Cook C.D.K., Min. Bot. Staatssamml Mùnchen, 6: 47-237(1966).<br /><br />In coli, con C.D.K. Cook (Zurigo).",,,,,,,,,,,,(DC.) A. Gray,,,,,
18933754,Ranunculus rionii,Specie,"Simile a {t815}, ma pianta annuale a ciclo breve con acheni subsferici di 1 mm al max.<br /><br />Eurasiat.<br />Trovato un'unica volta (1884) sul Garda a Torri del Benaco, forse scomparso. RR.<br /><br />Rion A. (1809-1856), naturalista nel Vallese.",538253bee241e6ead4864995a3000ebd,2903636,100,0,"Fossi, paludi.",2-15 dm,Pianta perenne erbacea,2546129,,,Ranuncolo di Rion,Lagger,,815/b,Maggio,Giugno,I rad
4503753,Ranunculus trichophyllus,Specie,"Fg. tutte capillari con lacinie ± rigide, divergenti. Peduncoli frutt. 1-5 cm &lt; picciuoli corrispondenti; ricettacolo pubescente; petali 3.5-5.5 mm, non rico-prentisi sui bordi; stami 9-15; acheni immaturi pubescenti.",779d09f4edfdd5f00168254ce09ec56d,,,,Acque lente o stagnanti.,2-15 dm,Pianta perenne erbacea,2546128,,,Ranuncolo a foglie capillari,Chaix,( = R. paucistamineus Tausch; R. drouetii F. W. Schultz; R. pantothrix Auct.; R. cesatianus Caldesi),815,,,I rad
5253756,Ranunculus trichophyllus subsp. eradicatus,Specie,,,,,,,,,,,,,,,,,,
753755,Ranunculus trichophyllus subsp. trichophyllus,Specie,,,,,,,,,,,,,,,,,,
