id,name,taxa_kind_id_name,description,col_id,eol_id,Nome Italiano,Portamento,Altezza,Tipo di vegetazione,Limite altitudinale inferiore,Limite altitudinale superiore,Inizio fioritura,Fine fioritura,Autore,Diffusione,Ciclo riproduttivo,Forma biologica,Codifica numerica,Progressivo
"964","Prunus domestica subsp. insititia","Specie","","","","","","","","","","","","","","","","",""
"963","Prunus domestica subsp. domestica","Specie","","","","","","","","","","","","","","","","",""
"962","Prunus cerasifera","Specie","Corteccia rosso-bruna, liscia; rami spesso all'apice induriti e spinescenti; legno con odore di mela. Fg. con lamina ellittica (20-27 X 32-40 mm), seghettate tutt'attorno; picciuolo 5-8 mm. Fi. generalm. isolati su peduncoli di 1 cm; petali bianchi, 9-11 mm; fr. subsferico (2-3 cm) rosso o giallo (mirabolano, amolo).<br /><br />W-Asiat.-Pontico.<br />It Sett. Abr.: R.<br /><br /><strong>Usi</strong> - Introdotto già dai Romani, la coltura ha oggi scarsa importanza ed i frutti giungono solo raram. sul mercato; viene invece impiegato largam. come portainnesti per varie rosacee fruttifere. La var. pissardii (Carrière) L. H. Bailey con fg. di color rosso-purpureo e fi. rosei è coltiv. frequentem. per viali.","a9e58dc1ec93575b72c918c3a9cedcc5","301112","Ciliegio-susino","Cespuglio","1,5 - 8 m","Coltiv. raram. e sub-spont. presso i giardini","0","800","Marzo","Aprile","Ehrh.","","","P caesp","3396007","1562"
"961","Prunus domestica","Specie","Corteccia rosso-bruna; rami giovani pubescenti, poi glabri; legno con profumo di mela. Fg. con lamina oblanceoiata (3-4 x 6-8 cm), dentellata tutt'attorno, arrotondata o ottusa all'apice, con base lungam. cuneata, pubescente di sotto; picciuolo lungo ⅓-⅖ della lamina. Fi. a 2-3 in glomeruli su peduncoli di 1-2 cm; petali bianchi, 7-12 mm; fr. 2-7 cm.<br /><br /><strong>Usi</strong> - Il luogo d'origine della specie è dubbio; noccioli trovati in stazioni neolitiche in molti punti dell'Eur. Merid. (anche in Italia) fanno pensare alla domesticazione in situ di una pianta spontanea, forse la subsp. (b); d'altra parte pare che la sp. si presenti spontanea nell'Asia Occid. Non è neppur certo che le due subsp. abbiano origine comune o non rappresentino piuttosto un complesso di forme convergenti per ibridismo e selezione. 1 nomi assai variabili farebbero pensare ad un'origine politopa e forse da parecchie piante (gr. brahyla, madrya, proumnon da cui lat. pruno, ital. pruno, prugna, frane, prunier, alto ted. pfruma, ted. Pflaume,ingl. plum; di origine differente: ital. Susina; ted. Zwetschge; slov. sliva, òesplje.","192845f87fb1f16c75837243fee96bde","301139","Pruno; Susino","Albero","2-10 m","Comunem. coltiv. e sub-spont. (ovv. spont.)","0","1000","Marzo","Aprile","Linneo","","","P scap","3396010","1564"
"960","Prunus brigantina","Specie","Rami giovani glabri. Fg. con lamina ovata o ellittica (2-5 X 5-8 cm), cordate o troncate alla base, doppiam. seghettate sul bordo, glabre e lucide sopra, pubescenti di sotto. Fi. precedenti le fg., in glomeruli di 2-5; petali bianchi (8 mm); fr. 2-3 cm, lucido.<br /><br />Brigantes: popolo ligure delle Alpi Occidentali noto per furti e ruberie; i discendenti oggi sì dedicano all'attività turistica.<br /><br />Alpi Piem. dalla V. di Lanzo e V. Susa alle A. Maria.: R. Anche nelle vallate vicine in territorio frane. - BibL: Negri G., Ann. Aec. Agr. Torino 65: 62 page. (1923).<br /><br /><strong>Usi</strong> - Il fr. ha polpa di sapore aspro, non commestibile; dal seme si ricava un olio (frane, huile de marmottier), usato fra l'altro per estrarre i principi attivi delle galle di Rododendro ed ottenerne un unguento per frizioni contro i reumatismi; tradotto in ital. (olio di marmotta) questo ha fornito la causa nel secolo scorso ad un'insensata e distruttiva caccia alle marmotte nelle valli alpine.","e1f3663c9027d6b326981aa8eed6bd0c","301104","Pruno del Delfinato; Marmottier ","Cespuglio","2-6 dm","Cespuglieti, pendii soleggiati","1400","1700","Aprile","Maggio","Vill.","Specie endemica","","P caesp","3396006","1561"
"959","Prunus cocomilia","Specie","Simile a <em>Prunus domestica</em>, ma glabro in ogni parte; fg. con lamina ellittica ovv. obovata (1-2.5 X 2.5-4 cm), dentellata; fi. subsessili; petali 6 mm; fr. ovoide (1-4 cm), giallo o ± screziato in rosso.<br /><br />NE-Medit.-Mont. (disgiunzione italo-baie).<br />Avell. (M. di Bagnoli), Basii, Sila e Sic: C.<br /><strong>Variab.</strong> - Il fr., di gusto acido, non è commestibile, però ne esiste una var. brutia (N. Teracc.) Fiori con fr. di sapore dolce, al tempo del Ten. commerciati in Basil.","0da18a9db87e876445a1bb744b1311d7","301121","Cocumilio; Groma","Albero","2-5 m","Macchie, radure, cespuglieti","800","1500","","","Ten.","","","P scap","3396011","1565"
"958","Prunus spinosa","Specie","Rami giovani generalm. a corteccia pubescente, colore bruno-rossastro; polloni glabri con corteccia glauca; legno con odore di mele; rami lat. brevi (1 cm), afilli, induriti, formanti spina. Fg. alterne con picciuolo di 3-5 mm e lamina ellittica a ± 1 rombica (1.5-2 X 3-4 cm), acuta, crenata o dentata sul bordo. Fi. generalm.<br />isolati su peduncoli di 5 mm, precedenti le fg.; petali bianchi 5-7 mm; fr. sferico (10-15 mm) blu-nerastro, pruinoso, di gusto acido.<br /><br />Europeo-Caucas.<br />In tutto il terr.: C.","5e0e75c1fa4224fa5d8ad25c4fa38d25","632461","P. selvatico; Prugnolo; Vegro","Cespuglio","5-30 dm","Boschi cedui, cespuglieti, siepi, muretti.","0","1500","Marzo","Aprile","Linneo","","","P caesp","3396008","1563"
"957","Prunus dulcis","Specie","Rami con corteccia bruno-grigiastra, negli individui selvatici spinescenti all'apice, glabri; legno senza odore. Fg. con picciuolo di 1-2 cm (generalm. con ghiandole) e lamina strettam. lanceolata (1.5-2 x 5-6 cm), seghettata sul bordo. Fi. generalm. appaiati, subsessili; petali rosei, obovato-spatolati ( 15-20 mm); fr. verdastro-pubescente (3-4 cm) con seme edule (mandorla).<br /><br />S-Medit. (?).<br />In tutto il terr. : C.<br /><br /><strong>Usi</strong> - L'area originaria del Mandorlo viene ipotizzata in vari Paesi, dal Caucaso al Marocco e non è oggi individuabile con certezza. La coltura ha avuto inizio nell'Asia Anteriore, probabilm. in Mesopotamia, è giunta in Grecia nel V sec. a.C. ed in Italia solo in epoca imperiale. Anche il nome del fr. pare derivi da radice non indoeuropea, grecizzata in amygdalé, da cui le voci successive amygdalus (lat.), almond (ingl.), amandier (franc), mandorlo (it.), Mandelbaum (ted.), mindali (russo) ecc.","c59a01d77278f71f442d560497a44d8a","10314703","Mandorlo","Albero","6-10 m","Comunem. coltiv. e raram. inselvatichito.","0","800","Febbraio","Marzo","(Miller) D. A. Webb","","","P scap","3396002","1558"
"956","Prunus webbii","Specie","Simile a piante inselvatichite di <em>Prunus dulcis</em>, ma rami divaricati, spinosi; fg. 6-9 X 20-35 mm, più sottili; petali 10 mm: fr. 2-2.5 cm.<br /><br />E-Medit.<br />Puglia Sen. a S. Severo ed Apricena.<br /><br />Webb P. B. (1793-1854), studiò la flora iberica e delle Canarie; il suo erbario, di grande importanza storica, si conserva a Firenze.","91fe06b2f4b254ec1969f4cbb80427bc","242552","Mandorlo di Webb","Cespuglio","2-3 m","Macchie","0","600","Febbraio","Marzo","(Spach) Vierh.","","","P caesp","3396003","1559"
"955","Prunus armenica","Specie","","","","","","","","","","","","","","","","",""
