id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
4534,"Ribes rubrum",Specie,"Rami eretti. Fg. cordate, 3-5 lobate, a margini con denti ottusi, glabre di sopra e subglabre o pubescenti inferiorm. Racemi suberetti o arcuato-patenti; fi. rotati con sepali glabri; petali esigui, antere con logge distintam. separate da un connettivo grande quanto loro; ricettacolo con cercine pentagonale; bacca rossa, glabra, acida.<br /><br />Centroeurop.<br />Spontaneo solo in alcuni settori alpini (R); coltiv. soprattutto sui rilievi per il fr. e spesso inselvatichito.<br /><br /><strong>Usi</strong> - È il Ribes comune, che viene largam. coltivato; il fr., nelle cultivar più frequenti è ingrossato, di gusto dolce-acidulo e viene consumato fresco oppure serve alla preparazione di marmellate e sciroppi.",2a4397aa6554518899f5a92272be785e,46323927,2100,0,"Boschi umidi e luoghi freschi.","1-1.5 m.",Cespuglio,,NP,3249002,"Ribes rosso",,"( = R. vulgare Lam.; R. sativum Syme; R. syhesire Syme)",Linneo,1329,Giugno,Agosto
4533,"Ribes petraeum",Specie,"Rami robusti, bruno-nerastri o cenerini. Fg. 5-lo-bate (5-15 cm), a lobi acuti, glabre o scarsam. pelose. Racemi allungati (4-6 cm), ± patenti, generalm. pauciflori; fi. campanulati con sepali spatolati, eretti, cigliati; ov. conico, sollevato, con breve stigma bifido; filam. curvati alla base: bacca rossa, acidula.<br /><br />Eurosib.<br />Alpi dalle Trent. alle Maritt., App. Sett.: R.<br /><br /><strong>Confus.</strong> - Cfr. {t1334}.",4b300e8570fe4acb871c93308b63403e,484053,2000,800,"Boschi di conifere e faggete.","1-3 m",Cespuglio,,NP,3249004,"Ribes dei sassi",,,Wulfen,1330,Giugno,Agosto
4536,"Ribes multiflorum subsp. sandalioticum",Specie,,,,,,,,,,,,,,,,,,
4535,"Ribes multiflorum subsp. multiflorum",Specie,,,,,,,,,,,,,,,,,,
4532,"Ribes multiflorum",Specie,"Fg. talora assai sviluppate, 3-5 lobate, peloso-setolose o ghiandolose soprattutto sulla pag. inf. Racemi sviluppati (5-12 cm), pendenti, con numerosi fi. appressati a pedicello breve; sepali ligulati, riflessi, verdastri o porporini; stilo profondam. bifido; bacca rossa, acida, glabra.<br /><br />Medit.-Mont.<br />Pen., Sard.: R.",dbaf7f31753a9b2010360af5c51e682f,484055,1800,1000,"Faggete e luoghi freschi.","1-2 m",Cespuglio,,NP,3249001,"Ribes multifloro",,,Kit.,1328,Maggio,Luglio
4531,"Ribes nigrum",Specie,"Fg. 3-5-lobate, dentate, superiorm. glabre e inferiorm. con numerose ghiandole sessili, viscoso-oleose, di contenuto aromatico. Racemi patenti con fi. lassi, distintam. pedicellati; fi. campanulati, con lacinie calicine riflesse, tomentose; petali piccoli eretti; bacca nera, dolciastra e aromatica.<br /><br />Eurasiat.<br />Alpi in Valsugana e Piem.: R, forse però naturalizzato.",c380367355d727f098f6959d10bc8cb9,583204,1500,500,"Boschi del piano montano superiore, in luoghi freschi.","1-2 m.",Cespuglio,,NP,3249005,"Ribes nero",,,Linneo,1331,Giugno,Luglio
4530,"Ribes alpinum",Specie,"Pianta inerme, 1-3 m. Corteccia liscia, bruno-argentata; fg. glabre o sparsam. pelose, con picciuolo di 7-9 mm e lamina 3-5-lobata (24-30 X 20-24 mm). Fi. unisessuali per aborto di uno dei due sessi, piccoli, rotati, verdastri; racemi eretti a rachide peloso-ghiandolosa; brattee ghiandolose &gt; fi.; bacca glabra (diam. 6 mm), scarlatta, insipida.<br /><br />Eurosib.<br />Alpi e App. fino all'Abr.: R.<br /><br /><strong>Confus.</strong> - Nelle faggete montane si può talora restare in dubbio sull'identificazione di Ribes sterili: {t1334} si distingue da {t1330}, che vive nello stesso ambiente, anche per le fg. che sono la metà più piccole.<br /><br /><strong>Nota</strong> - Il <em>R. aureum</em> Pursh del N. Amer. è frequentem. coltivato e talora localm. sfuggito a coltura in Italia. Il <em>R. spicatum</em> Robs, dell'Europa Centrosett., è stato segnalato per l'Italia, ma probabilm. per errore.",f25b70ea1dbd3b27201dd8fbaca44ec6,483062,1900,500,"Faggete, boschi di conifere e staz. rocciose del piano culminale.",,Cespuglio,,NP,3249008,"Ribes alpino",,,Linneo,1334,Giugno,Agosto
4529,"Ribes sardoum",Specie,"Rami inermi; fg. piccole (1-1.5 cm), trilobe, con numerose ghiandole sub-sessili, margine dentato, picciuolo ci-gliato-ghiandoloso guainante infe-riorm. Fi. piccoli, solitari, ascellari, brevem. peduncolati; lacinie calicine ovate, riflesse, verde-citrino; petali ridottissimi; stilo breve, bipartito; bacca glabra di color rosso-vivo.<br /><br />Endem.<br />Sard. a Oliena (Sos Prados); R.",b897a03b3b224bc44bc76286220a986f,5554202,1200,1000,"Rocce calc.","0.5-1.5 m.",Cespuglio,,NP,3249007,"Ribes di Sardegna","Specie endemica",,Martelli,1333,Maggio,Giugno
4528,"Ribes uva-crispa",Specie,"Rami intricati, con 1-3 spine ai nodi ed aculei setiformi sui rami giovani. Fg. inciso-lobate, glabre o pelose. Fi. solitari o a 2-3, brevem. peduncolati; sepali 5-7 mm, gialli o giallo-verdi, talora porporini (f. purpureum Rostan); bacca di dimensioni variabili, glabra, pubescente o setoso-ghiandolosa.<br /><br />Eurasiat.<br />Alpi e App. fino all'Abr.: C.<br /><br /><strong>Usi</strong> - Il fr. è commestibile, con delicato gusto aromatico. Molto apprezzato nell'Europa Centr., da noi invece si coltiva solo di rado (ad es. nelle valli aride centro-alpine).",390903ef0a2e948c8a2fd048d67140a6,489744,1600,100,"Boschi e pascoli del piano montano e culminale.","5-15 dm.",Cespuglio,,NP,3249006,"Ribes Uva-spina",,"( = R. grossularia L.)",Linneo,1332,Maggio,Luglio
4418,Ribes,Genere,"Arbusti decidui, inermi o spinosi, con fg. semplici, senza stipole. Fi. 5-meri, generalm. riuniti in racemi, raram. solitari o geminati; sepali in genere ben sviluppati e petali più piccoli, alterni con i sepali; stami 5 (4) situati davanti ai sepali. Ovario infero, raram. semiinfero, terminante in uno stilo ± bifido. Fr.: bacca polisperma.<br /><br />Bibl: Janczewski E., Mem. Soc. Phys. Genève 35: 199 (1907); Meurman O., Hereditas li: 289-356 (1925); Goldschmidt E., Hereditas 51, 52 (1964).<br /><br />Per P. V. Arrigoni (Firenze).",000c939bf356651a41c273eb8f83ea1e,38348,,,,,,,,,Ribes,,,Linneo,,,
