id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
5925,"Lathraea clandestina",Specie,"F. interam. sotterraneo, ramosissimo, giallastro; fg. ridotte a scaglie reniformi. Asse del racemo sotterraneo, quindi fi. ap-parentem. inseriti sul rizoma; peduncoli 10-30 mm; calice glabro, 15-20 mm; corolla violacea 40-50 mm; capsula ovoide.<br /><br />W-Medit. (Euri-).<br />Pen. pr. Carrara e Lucca, Majella, Avellinese, M. Cervialto, Cal. a Nardello e sull'Aspromonte: RR; anticam. segnalata anche in Umbria e pr. Roma.",cc34dc2a3227f7f9f976821d0a4b7968,5677516,1300,0,"Parassita su latifoglie.","5-8 cm.","Pianta perenne erbacea",,"G rhiz",7794003,"Latrea clandestina",,,Linneo,3527,Aprile,Giugno
5924,"Lathraea squamaria",Specie,"Pianta senza clorofilla, di color roseo o bianco-giallastro (!). Rz. ramoso ingrossato; f. cilindrico, molle; fg. ridotte a squame di 7 X 11 mm. Racemo lineare e compatto, con fi. penduli e ± unilaterali; peduncoli 5-6 mm, calice campanulato 5 X 12 mm, irsuto, con 4 denti lunghi ⅓-½ del tubo; corolla tubuloso-bilabiata, glabra, 14-16 mm, bianco-rosea; stami 4 inseriti a ⅔ del tubo, con antere appena sporgenti; capsula subsferica (10 mm).<br /><br />Eurasiat.<br />Alpi, Pad., Pen. (soprattutto sui rilievi) fino alla Sila, Sic. Sett: R; sembra mancare in Abr., Puglia, Sard. e Cors.",fa03efff83e3f852c393842fe61da8e1,2867029,1300,0,"Parassita di diverse latifoglie arboree o cespugliose.","10-30 cm","Pianta perenne erbacea",,"G rhiz",7794001,"Latrea comune",,,Linneo,3526,Marzo,Maggio
5923,"Rhinanthus helenae",Specie,"Simile a {t3521}, ma calice con peli di 0.1-0.2 mm e corolla anectolema.<br /><br />Subendem.<br />Bellunese al Passo di S. Boldo: RR.<br /><br />Specie dedicata alla sig.ra Elena Pampanini, che la scopri il 18-IX-1907.",0084a4ca46275d3c3198359c8f81d09a,,1800,300,"Prati aridi, pascoli.",,,,,7647028,,"Specie endemica",,Chab.,3524,Giugno,Settembre
5922,"Rhinanthus freynii",Specie,"Simile a {t3521}, ma brattee e calice con caratteristici peli appressati, brevi (0.1-0.2 mm).<br /><br />Endem.<br />Alpi Or. e Prealpi dalla Carnia al Cadore, Prealpi Ven., Dolomiti fino all'Adige: C; segnalato anche nel Triest. e nel Trent. Occid. pr. Stenico.<br /><br />fo. <strong>freynii</strong> - Vernale,<br />fo. <strong>croaticus</strong> (Soó) - Estivale,<br />fo. <strong>sterneckii</strong> (Wettst.) - Autunnale,<br />fo. <strong>bellunensis</strong> (Chab.) - Monomorfa (montana).<br /><br />Freyn J. F. (1845-1903), austriaco, autore di una eccellente Flora dell'Istria Meridionale.",52230ae4a3e0ddb85b03efdbc4cba5fe,5673970,1500,500,"Prati e pascoli.",,,,,7647024,,,"( = Alectorolophus freynii Kerner) ","(Kerner) Fiori",3523,Giugno,Luglio
5921,"Rhinanthus facchinii",Specie,"Simile a {t3521}, ma corolla anectolema.<br /><br />Endem.<br />Alpi Camiche, Cadore, Dolomiti, Grigne: RR; segnalato anche al M. Cenisio.<br /><br />Facchini F. (1788-1852), medico a Vigo di Fassa, primo esploratore della flora delle Dolomiti Trentine.",ba60f707f16a0382ed498fe52a7cb9af,,2400,1500,"Prati montani.",,,,,,,"Specie endemica",,Chab.,3522,Luglio,Settembre
5920,"Rhinanthus alectorolophus",Specie,"Brattee villose, triangolari-rombiche, generalm. più lunghe del calice; denti tutti ± della stessa lungh. (2-3 mm), mai aristati: calice lanoso con peli di 1-1.5 mm (spesso mescolati ad altri peli più brevi); corolla cleistolema 18-20 mm, con naso di 1.3-2.5 mm.<br /><br />Centro-Europ.<br />Alpi, Pad.: C; Pen. fino alla Basil. però in molte zone forse da eliminare.<br /><br />fo. <strong>alectorolophus</strong> - Vernale.<br />fo. <strong>patulus</strong> (Sterneck) - Estivale.<br />fo. <strong>buccalis</strong> (Wallr.) - Autunnale.<br />fo. <strong>modestus</strong> (Chab.) - Monomorfa (montana).",5197578e9d9d050e5a19b2d488f40444,485575,2000,0,"Prati e pascoli.",,,,,7647025,"Cresta di gallo comune",,"(= Rh. major L. nomen ambiguum; Rh. hirsulus Lam.: Alectorolophus semleri Sterneck)","(Scop.) Pollich",3521,Maggio,Settembre
5919,"Rhinanthus burnatii",Specie,"Simile a {t3519}, ma con fitti peli ghiandolari.<br /><br />Euri-Medit. (sett.).<br />Piem. Merid., Lig. ed anche nel Friuli Or., fra Gorizia e Monfalcone: R.<br /><br />Burnat E. (1828-1920), botanico svizzero (del cantone di Vaud), iniziatore di una monumentale Flora delle Alpi Marittime, rimasta incompiuta.",61bf3090919cda331d906739bb8294e4,,1800,0,Prati.,,,,,7647013,,,,"(Chab.) Soó",3520,Maggio,Giugno
5918,"Rhinanthus mediterraneus",Specie,"Brattee pubescenti, ovali-triangolari, più lunghe del calice; denti inf. molto allungati (5-8 mm) e talora aristati; calice pubescente (raram. glabro o quasi); corolla cleistolema 18-20 mm con naso di 1.3-2.5 mm.<br /><br />Euri-Medit. (sett.).<br />Alpi Cozie e Mariti. ed App. Sett. fino alla Tosc: R.<br /><br />fo. <strong>mediterraneus</strong> - Estivale,<br />fo. <strong>arvernensis</strong> (Chab.) - Autunnale,<br />fo. <strong>behrendsenii</strong> (Sterneck) - Monomorfa (montana).<br />fo. <strong>pumilus</strong> (Sterneck) - Alpina.",dbdd4e1027a2756a9730d97c2a0d57e5,5674108,1800,0,"Prati aridi.",,,,,7647016,"Cresta di gallo mediterraneo",,,"(Sterneck) Adamovic",3519,Giugno,Settembre
5917,"Rhinanthus carinthiacus",Specie,"Simile a {t3518}, ma f. (in alto), brattee e calici con fitti peli ghiandolari; corolla anectolema.<br /><br />Solo in Carinzia (Lavanttal), non molto lontano dal nostro confine.<br /><br />Endem.",369039e09cefb5819a7d5699c7ab4523,,,,,,,,,7647012,,,,Widder,3518/c,,
5916,"Rhinanthus pulcher",Specie,"Simile a {t3518}, ma corolla anectolema.<br /><br />Segnalato ripetutam., ma verosimilm. da eliminare.<br /><br />Orof. SE-Europ.",37ede0aae0d50136b8103fa96099a528,,,,,,,,,7647011,,,"(= Rh. alpinus Baumg.)",Schummel,3518/b,,
