id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
5610,"Nicotiana tabacum",Specie,"<div>Pianta pubescente-ghiandolosa e vischiosa. F. eretto, ramificato solo nell'inflor. Fg. ellittiche o ± ovato-acuminate, le maggiori di 2-5 dm. Pannocchia apicale corimbiforme; calice tubuloso 1-2 cm; corolla 3-5 cm, ± rossa, rosea o giallastra; capsula ovoide 1.5-2 cm.<br /><br />Nordamer.</div><div><br /><strong>Usi</strong> - Il Tabacco era noto agli indigeni della regione caraibica già in epoca precolombiana; fu introdotto in Spagna nel 1519 ed a Parigi nel 1560 dall'ambasciatore francese a Lisbona J. Nicot. al quale fu dedicata in seguito la denominazione scientifica della pianta. Il nome «Tabacco» deriva dall'amerindio «Tubac», però in Italia questa parola (come il verbo «tabaccare») esistevano, con significato diverso, già prima della scoperta dell'America. Dapprima il Tabacco era considerato pianta ornamentale o medicinale, nel sec. XVII e XVIII l'uso si diffuse in Europa, fra lo scandalo dei benpensanti che lo ritenevano immorale, nocivo alla salute e pericoloso per la convivenza civile (facilità d'incendi). Nel sec. XIX veniva comunemente consumato come Tabacco da masticare, da fiuto oppure fumato nella pipa o come sigaro. L'uso della sigaretta, oggi universale, si affermò dapprima in Russia, da noi solo nella seconda metà del secolo scorso.</div>",77744d364ae1427ae5743c9d6bbd45f2,46375646,600,0,"Coltivata su vasta scala in tutto il terr.","8-30 dm",,Annuale,"T scap",7434003,"Tabacco Virginia",,,Linneo,3310,Giugno,Settembre
5609,"Nicotiana rustica",Specie,"<div>Simile a {t3310}, ma sempre annua; fg. 1-2 dm, picciuolate; calice 8-15 mm; corolla 1-2 cm, verde-giallastra; capsula 7-15 mm.<br /><br />Nordamer.<br /><br />Bibl.: Danert S., Kulturpflanze 11: 535-562 (1963).</div>",ef3d27f88b2272334bdbf342496cd77a,579533,1000,0,"Coltiv. frequentem.","5-15 dm.",,Annuale,"T scap",7434002,"Tabacco del Brasile",,,Linneo,3309,Giugno,Settembre
5608,"Nicotiana glauca",Specie,"Fusto glabro e glauco (!). F. legnoso a corteccia scura. Fg. alterne, coriacee, con picciuolo di 3-5 cm e lamina lanceolata (2-4 X 4-8 cm), acuta, intera. Fi. in pannocchie apicali corimbiformi; picciuolo 5-8 mm; calice con tubo di 6-7 mm e denti ottusi (1-1.5 mm); corolla gialla, con tubo di 5-6 X 25-33 mm e denti molto ottusi (1 mm); capsula ellissoide 7-10 mm.<br /><br /><div>Sudamer.</div><div>Riviera, Argentario, Marche ad Ascoli, Roma, Napol., Bari, Sic, Sard., Cors., Is. di Ponza, Capri, Pantelleria, Malta: R.</div>",aba12bd7cf5ebe8a777753e98eae189a,581054,600,0,"Coltiv. per ornam. ed inselvat. su vecchi muri, rupi, macerie.","10-30 dm",Cespuglio,,NP,7434001,"Tabacco glauco",,,Graham,3308,Gennaio,Dicembre
5607,"Datura innoxia",Specie,"Simile a {t3304}, ma calice di 6-9 cm, con denti lunghi 1-2.5 cm; corolla 11-19 cm; capsula subsferica (5-6 cm), pendula, con aculei molli.<br /><br /><div>Centroamer.</div><div>Cal., Sic., Sard., Is. Ponziane e Pantelleria: R.</div>",f78459611a04e57ef4ee69db20086be1,581033,600,0,"Incolti, ruderi.","5-20 dm.",,Annuale,"T scap",7415003,"Stramonio metello; Noce metella",,"(= D. metel Auct. Fl. Ital. non L.)",Miller,3306,Giugno,Settembre
5606,"Datura ferox",Specie,"Simile a {t3304}, ma calice con denti più brevi e capsula con aculei più allungati, quelli della metà apicale decisam. più lunghi dei basali e convergenti verso l'apice.<br /><br /><div>Cina.</div><div>Segnalata pr. Perugia, Roma ed in Sic. : RR.</div>",0a065c728043663a2ab50f8f323f3bdc,8762059,600,0,"Incolti, ruderi.","5-15 dm",,Annuale,"T scap",7415002,"Stramonio spinosissimo",,,Linneo,3305,Luglio,Ottobre
5605,"Datura stramonium",Specie,"Pianta fetida (!). F. prostrato o ascendente-dicotomo, pubescente. Fg. alterne con picciuolo di 2-4 cm e lamina largam. ovata 6-13 X 10-15 cm, con grossi denti acuti; base troncata. Fi. solitari ascellari su peduncoli di 3-10 mm, alla frutt. lignificati; calice tubuloso 6-8 X 25-30 mm, con denti acuti di 5-7 mm; corolla candida o ± purpurea, tubulosa, lunga 6-8 cm, con lobi lesiniformi divergenti; capsula grande come una noce (3-5 cm), irta di aculei; semi neri 3 mm.<br /><br /><div>Amer., ormai Cosmopol.</div><div>In tutto il terr.: R.</div><div><br /><strong>Nota</strong> - Origin. dell'America Tropicale, è stata introdotta da noi dopo il 1500 come pianta ornamentale (per il bel fiore bianco) e medicinale (soprattutto antiasmatica). Oggi è abbastanza comune, però sempre in stazioni aperte, dove può crescere priva di concorrenza da parte delle specie indigene, quindi su ruderi e particolarmente nelle stazioni sabbiose lungo i litorali; è pianta effimera, che quando la vegetazione tende a chiudersi scompare rapidamente. {t3304} e così pure le altre specie di Datura esistenti da noi sono fortemente tossiche; si ricordano casi di avvelenamenti soprattutto bambini che ne avevano mangiato i fiori oppure le capsule.</div>",ff1e58fe347247eb746d12356810f622,581034,900,0,"Ruderi, macerie, sotto i muri.","5-15 dm",,Annuale,"T scap",7415001,"Stramonio comune; Indormia",,,Linneo,3304,Luglio,Ottobre
5604,"Mandragora autumnalis",Specie,"<div>Rd. ramificata, scura; f. nullo o brevissimo. Fg. glabre o quasi, oblan-ceolato-spatolate (2-3 X 5-7 cm, alla fior. successivam. allungate), dentellate, acuminate. Fi. inseriti al centro della rosetta, su peduncoli pubescenti di 1.5-2 cm; calice cilindrico con tubo di 5 mm e denti lesiniformi di 6-8 mm, alla frutt. accrescente così da avvolgere quasi completam. il fr.; corolla violacea con tubo imbutiforme lungo 2-2.5 cm e lembo diam. 2-3 cm; lobi largam. triangolari; bacca ellissoide, gialla o aranciata.<br /><br /><div>Steno-Medit.</div><div>Sic: C; It. Merid. e Sard: R; segnalata anticam, nel Lazio sul M. Lucretile.</div></div>",f0ef5bfa03fed1174dd0c03c0ddb56e6,486420,600,0,"Campi, incolti aridi, siepi.","1-3 dm","Pianta perenne erbacea",,"H ros",7413002,"Mandragora autunnale",,,Bertol.,3303,Settembre,Novembre
5603,"Mandragora officinarum",Specie,"Simile a {t3303}, ma fioritura primaverile; rd. chiara, spesso con l'aspetto di una figura umana (di qui l'uso magico di questa sp. e di {t3303} nell'antichità e nel medioevo); fg. ispide, generalm. sinuate; calice non accrescente; corolla con lobi strettam. triangolari.<br /><br /><div>Illirica.</div><div>It. Sett. (pr. Chioggia, Prealpi Vin. e Veron., V. d'Aosta a Chatillon): RR; segnalata ancora nelle Marche (Smerlilo) ed Umbria (lungo la Norcia), ma non ritrovata di recente.</div>",5eada62461ab46586ae0be419b40fea5,486422,800,0,"Boschi di latif.","1-2 dm.","Pianta perenne erbacea",,"H ros",7413001,"Mandragora primaverile",,"( = M. acaulis Gaertner; M. vernalis Bertol.)",Linneo,3302,Marzo,Maggio
5602,"Capsicum annuum",Specie,"<div>Pianta glabra (!). F. eretto, striato, ingrossato ai nodi, ramosissimo. Fg. con lamina ovale-acuminata (3-8 X 7-13 cm), intera o irregolarm. crenata, progressivam. ristretta alla base; picciuolo scanalato di sopra, lungo quanto la lamina. Fi. isolati all'ascella delle fg. sup., peduncolo incurvato ( 1 cm), alla fine ingrossato e lungo fino a 3 cm; calice alla fior. 3-4 mm con denti ottusi, in seguito accrescerne; corolla bianco-giallastra con lacinie di 5-6 x 10-15 mm; bacca commestibile (Peperone) di dimensioni (2-15 cm) e forma diversissime, colore verde, giallo o rosso.<br /><br />Coltiv. per alimento in molte var., in tutto il terr., però non tende a spontaneizzarsi.<br /><br />Sudamer.<br /><br />Bibl.: Terpo A., FeddesRep. 72: 155-191 (1966).</div><div><br /><strong>Nota</strong> - Le cultivar più frequentem. coltivate attualmente sono quelle a fr. grosso, cavo all'interno, di color verde e sapore quasi dolce, oppure di colore giallo o rosso e gusto piccante debole; nel Meridione si fa largo uso anche di <em>C. longum</em> DC. (che probabilm. non è specie distinta), con fr. sottile ed allungato (generalm. 2 x 10-15 cm), di color rosso scarlatto, e di gusto fortissimo, indicato nelle varie cultivar con Diavolicchio, Diavolillo, Pepe infernale etc. Il Peperone è originario dell'America tropic. dalla quale è stato importato in Europa verso la metà del sec. XVI; in Italia giunse già prima del 1600, invece solo attorno al 1750 venne introdotto in Ungheria (che oggi è uno dei più importanti produttori), dove viene anche seccato e macinato per ottenerne la Paprika, il condimento che serve alla preparazione del «gulasch» e di tanti altri gustosi piatti tradizionali. All'amico A. O. Horvàt, elegante latinista e studioso della flora e vegetazione del Mecsek, devo la seguente massima «Condimentum hungarorum est mala, rubra bestia, quae Paprika vocatur, et mordet sicut diabolum».</div>",8582212b8e6bd4ed695babc71a0a84ac,581098,,,,"4-10 dm",,Annuale,"T scap",7404001,Peperone,,,Linneo,3300/II,Giugno,Agosto
5600,"Solanum luteum subsp. alatum",Specie,,,,,,,,,,,,,,,,,,
