id,name,taxa_kind_id_name,description,col_id,eol_id,"Limite altitudinale superiore","Limite altitudinale inferiore","Tipo di vegetazione",Altezza,Portamento,"Ciclo riproduttivo","Forma biologica","Codifica numerica","Nome Italiano",Diffusione,Sinonimi,Autore,Progressivo,"Inizio fioritura","Fine fioritura"
5557,"Pseudorlaya minuscula",Specie,"Simile a {t2622}, ma petali generalm. bianchi; fr. con aculei lunghi 0.5-1.5 mm, scabri, non allargati alla base.<br /><br />NW-Medit.<br />Sard: RR.<br /><br /><strong>Nota</strong> - Secondo Lainz (Candotlea, 24: 253-262, 1969), {t2623} è pianta nordafricana che non compare in Europa; la segnalazione dalla Sard. andrebbe riferita a {t2622}, e cioè <em>P. pumila</em> (L.) Grande subsp. microcarpa (Loret et Barr.) Lainz.",b3cf5831c1a96e043cb2028d8c2f6934,5041776,,,"Spiagge, (lit.).","5-20 cm.",,Annuale,"T scap",6142902,"Lappola minima",,,"(Pau) Lainz",,Aprile,Maggio
5556,"Pseudorlaya pumila",Specie,"F. prostrato-ascendenti o -diffusi, pubescenti-lanosi. Fg. con lamina a contorno lanceolato (1-2 X 2-5 cm), 2-3 pennatosette. Ombrelle a 3(2-5) raggi lanosi; brattee lineari, semplici; petali bianchi o ± rosati, quelli dei fi. periferici poco maggiori degli altri; fr. appiattito, ellittico; aculei sulle coste secondarie lunghi 2.5-3.5 mm, lisci, quelli delle coste lat. allargati alla base.<br /><br />Steno-Medit.<br />Coste Occid. dalla Lig. alla Cal., coste joniche ed adriat. (verso N fino a Roseto negli Abr.), Sic, Sard., Cors. e piccole Is.: R.",93532633fc12e353e6199524ec5efa70,5045132,,,"Spiagge e dune mariti. (Lit.).","5-20 cm",,Annuale,"T scap",6142901,"Lappola delle spiagge",,"( = Daucus pum. Hoffmgg. et Link; Orlaya maritima [L.] Koch; Daucus mar. Gaertner non Lam.)","(L.) Grande",2622,Aprile,Maggio
5555,"Daucus gingidium",Specie,"<div>F. alla base legnoso e brevem. suffruticoso; scapi eretti, scanalati, ispidi. Fg. 2-3 pennatosette, a volte semplicem. pennate, carnosette, con segm. aventi lamina larga 2-8 mm, acutam. dentati ed aristulati. Ombrella a raggi molto numerosi, alcuni dei quali brevissimi, contratta; brattee raggianti, 2-3 X 15-30 mm, per lo più triforcate; petali bianco-rosei ( 1 mm); fr. 3 mm.<br /><br />Sub-Medit. - Subatl.</div>",e531acbc7a99ea72411220edadf782b1,581785,600,0,"Rupi e sabbie mariti.","2-4 dm","Pianta perenne erbacea",,"H bienn",6142011,"Carota delle scogliere",,"( = D. gummifer Auct.)",Linneo,2621,Marzo,Settembre
5554,"Daucus carota s.s.",Specie,"F. eretto, ispido per peli riflessi, ramoso in alto. Fg. basali a contorno lanceolato (1-3 X 8-12 cm), 2-3 pennatosette, con segm. d'ultimo ordine lanceolati (2 X 3-4 mm), le cauline 2 pennatosette, divise in lacinie lineari-acute (1-2 X 8-15 mm). Ombrelle a 20-40 raggi; brattee 7-10, lineari formate da una rachide centr., con 1-2 lacinie laterali, patenti; bratteole lineari semplici (1x8 mm); petali bianchi (1.2 X 1.5 mm), arrotondati; fr. ovoide (1.8 X 2.5 mm), irsuto di setole subspinose.<br /><br /><div>Paleotemp. divenuta Subcosmop.</div><div>In tutto il terr. : CC.<br /><br /><strong>Nota</strong> - La Carota coltivata si è formata nel Medio Oriente, probabilmente dall'ibridazione tra ceppi delle subsp. carota e della subsp. maximus; nota ai Greci ed ai Romani, ma spesso confusa con la Pastinaca, solo nel Medio Evo la sua coltura si è diffusa nell'Europa occidentale, dove per ibridazione e selezione si sono ottenute le cultivar attualmente in coltura anche da noi.</div>",d68359be5957bfa4a88d7e8d49c42420,,1400,0,"Incolti, lungo le vie, prati aridi.","4-7 dm",,Biennale,"H bienn",6142008,"Carota selvatica",,,Linneo,2620,Aprile,Settembre
5553,"Daucus gingidium subsp. polygamus",Specie,"Simile ad (a), ma minore in ogni parte; ombrelle spesso senza il fi. centrale, alla frutt. distintam. contratte; f. ± peloso o glabro.<br /><br />Coste occid. e merid. fino alla Puglia e Tremiti, Sic, Sard., Cors. e piccole Is. tirreniche: R.<br /><br />Steno-Medit. - Nesicolo.",,,,,,,,,,,,,,"(Gouan) Onno",,,
5552,"Daucus gingidium subsp. gingidium",Specie,"Alta almeno 20 cm; fg. a perimetro rombico o triangolare; segm. ovati ow. ovato-lanceolati, dentati o pennatifidi; ombrelle di diam. variabile, spesso con un fi. centrale purpureo, alla frutt. convesse.<br /><br />Coste occid. dalla Lig. al Napol, Sic., Cors. (probabilm. anche in Sard.) e piccole Is. tirreniche; sull'Adriat. solo al Conero: C.<br /><br />W- e Centro-Medit.",,,,,,,,,,,,,"(= subsp. gummifer [All.] Onno)",,,,
5551,"Daucus gingidium subsp. rupestris",Specie,"Pianta ridotta, generalm. non oltre 10 cm, densam. pelosa; fg. carnose a perimetro ovale, 2 pennate; ombrelle diam. 5 cm circa, non contratte alla frutt.; brattee lineari-lanceolate.<br /><br /><br />Is. di Lampione, Lampedusa, Malta ed Is. Eolie (Panarea): R. - Endem.",,,,,,,,,,,,,,"(Guss.) Onno",,,
5550,"Daucus gingidium subsp. fontanesii",Specie,"Simile ad (a), ma densissimam. ispido; fg. a segm. con incisioni più strette; brattee simili a quelle di 2620], con margine membranoso ben sviluppato; petali spesso nel secco giallastri; ombrelle frutt. spesso contratte.<br /><br />Puglia, Sic, Sard. e Cors.: R. - W-Medit. -Macarones.",,,,,,,,,,,,,"(D. hispidus Auct. Fl. Ital. pro max. parte)","(Thell.) Onno",,,
5549,"Daucus gingidium subsp. mauritanicus",Specie,"Fg. con divisioni di ogni ordine inserite ad angolo retto sul rachide.<br /><br />Coste occid. dalla Tosc, al Napol.; Sic, Sard, Cors. e piccole Is. tirreniche: R.<br /><br />W- e Centro-Medit.",,,,,,,,,,,,,,"(L.) Onno",,,
5548,"Daucus carota subsp. sativus",Specie,"Il tipo coltivato, probabilm. derivante dall'incrocio (a) x (d).",,,,,,,,,,,,,,"(Hoffm.) Arcang.",,,
5547,"Daucus carota subsp. maximus",Specie,"Sparsam. ispida; f. spesso ascendente; ombrelle diam. 12-20(10-30) cm; aculei ad uncini generalm. stellati.<br /><br />Pen. edls.: R. - Euri-Medit.",,,,,Incolti.,,,,,,,,,"(Desf.) Ball",,,
5546,"Daucus carota subsp. major",Specie,"Generalm. ± ispida; f. generalm. ascendente; ombrelle diam. 6-10 cm; aculei ad uncini semplici o doppi; intermedia fra (a) e (d).<br /><br />It. Sett., Pen., Sic.: R.",,,,,"Incolti, prati anche subsalsi.",,,,,,,,,"(Vis.) Arcang.",,,
5545,"Daucus carota subsp. carota",Specie,"<div>Pianta ± ispida; f. generalm. eretto; fg. di aspetto variabilissimo, le sup. a segm. generalm. lineari; ombrelle diam. 5-7 cm, raram. più; aculei a punta generalm. semplice.<br /><br />Generalm. sinantropica; in tutto il terr.: CC.</div>",,,,,,,,,,,,,,,,,
5544,"Daucus carota subsp. maritimus",Specie,"Subglabra; f. quasi eretto ovv. un po' ascendente; fg. con segm. profondam. pennatopartiti, lineari, acutissimi; ombrelle diam. 3-5 cm; aculei ad uncini generalm. stellati.<br /><br />Prevalente, lungo le coste: Lig, Pen., Sic, Sard. e Cors. edls. Minori: R.<br /><br />W-Medit.",,,,,,,,,,,,,,"(Lam.) Batt.",,,
5543,"Daucus carota",Gruppo,"Uno straordinario polimorfismo caratterizza questo gruppo, nel quale almeno una dozzina di tipi appaiono sufficientem. stabili per esser descritti come sp., pur rimanendo iargam. ibridabili fra loro e collegati da intermedi. Una trattazione analitica dei singoli tipi riesce confusa e molti Autori anche recenti preferiscono ritornare al concetto unitario linneano (es. Thell. in Hegi, Ill. Fl. Mitteleur. 5, 2 e Heywood in Fl. Eur. 2). Fondandoci su un preciso studio di Onno, Beih. Bot. Centralbl Abt. B 56: 83-136 (1936) e sulla sistemazione dello stesso in Briq., Prodr. Fl. Cors. 3,1 (1938), che seguiremo fedelm. nella nostra trattazione, abbiamo invece riconosciute due sp., perché ci sembra che in questo modo venga meglio sottolineata la differenza fra il gruppo di razze ± sinantropiche e continentali ({t2620}), e quelle indubbiamente selvatiche e litorali ({t2621}); questa differenza ha grande significato ecologico e verosimilm. anche filogenetico, però la separazione fra {t2620} e {t2621} non è completa e fra le due possono esser osservate in natura popolazioni intermedie.",,,,,,,,,,,,,,,,,
5542,"Daucus guttatus",Specie,"Simile a {t2616}, ma ombrelle a 8-25 raggi poco diseguali; brattee &gt; ombrelle, raggianti; petali bianchi, quelli del fi. centrali ± purpurei; fr. 2-3 mm con aculei lunghi 2 volte la larghezza dell'achenio.<br /><br />E-Medit.<br />Pen. dal Lazio (Terracina) e Molise alla Cal. (per le Puglie indicato solo delle Tremiti): R; anche a Malta, in Tosc. (Burano) ed Umbria.",06e2554b5a5f50ea364cccbea2c0cc68,5041671,600,0,"Incolti aridi.","2-6 dm.",,Annuale,"T scap",6142006,"Carota bicolore",,"(= D. bicolor S. et S.; D. setulosus Guss.)","S. et S.",2619,Maggio,Giugno
5541,"Daucus broteri",Specie,"Simile a {t2616}, ma ramosissima; fg. generalm. 2 pennatosette con segm. dentati o pennatopartiti; raggi poco differenti, brevi (ombrelle contratte alla fior.); fr. 4-6 mm con aculei lunghi circa quanto la larghezza dell'achenio.<br /><br />E-Medit.<br />Lig. e Pen. (verso Nfino alla Via Emilia) fino alla Cal.: R.<br /><br />Brotero F. de Avellar (1744-1828), professore a Coimbra e Lisbona, autore della prima, fondamentale flora portoghese.",06e9bb77a8f0fa6f94143a3e67e67e61,5041681,800,0,"Incolti aridi.","1-3(-5) dm.",,Annuale,"T scap",6142003,"Carota di Brotero",,,Ten.,2617,Maggio,Giugno
5540,"Daucus aureus",Specie,"Simile a {t2616}, ma talora bienne; raggi poco diseguali; petali giallastri, con la disseccazione di un giallo dorato, quelli dei fi. periferici non o appena raggianti; fr. 4-6 mm con aculei lunghi 2-3 volte la lunghezza dell'achenio.<br /><br />S-Medit.<br />Sic. e Cal.: C; avv. a Genova.",35897d9093f9e2462b165e372af20cdb,5041664,600,0,"Incolti, vigne, lungo le vie.",Annuale,,Annuale,"T scap",6142005,"Carota giallastra",,,Desf.,2618,Maggio,Giugno
5539,"Daucus muricatus",Specie,"F. ramoso-dicotomo, ispido. Fg. con lamina a contorno triangolare, 3 pennatosette, completam. divise in segm. lineari larghi meno di 1 mm. Ombrelle a 8-14 raggi di lunghezza molto ineguale e ± contratti alla frutt.; brattee pennatosette, divise in lacinie lineari; petali bianchi, quelli dei fi. periferici raggianti; fr. 6-8 mm con aculei lunghi 1-2 volte la larghezza dell'achenio.<br /><br />W-Medit.<br />It. Merid. (per le Puglie indicato solo delle Tremiti), Sic. e Sard.: R; anche pr. Frascati ed avv. a Venezia, Genova ed in Cors.",9aa8fd2a3a6bc4d1362208fafb167df5,5041779,800,0,"Incolti aridi, pascoli.","1-3(-6) dm",,Annuale,"T scap",6142002,"Carota capo-bianco",,,"(L.) L.",2616,Maggio,Giugno
5538,"Orlaya daucorlaya",Specie,"Simile a {t2614}, ma fg. cauline sup. 2-3 pennatosette; ombrelle a 6-10 raggi; fr. 9-11 mm.<br /><br />E-Medit.<br />Abr.pr. Caramanico e Salle: R.",9e02a020e639a71be4a84f774d58bbbd,5051455,1400,600,Incolti.,"3-8 dm.",,Annuale,"T scap",5952003,"Lappola balcanica",,,Murb.,2615,Giugno,Agosto
5537,"Orlaya grandiflora",Specie,"F. eretto, liscio, angoloso. Fg. (5-15 cm) basali a contorno ovato-triangola-re, con segm. ad apice arrotondato, 3-4pennatosette; fg. cauline ridotte alla sola guaina e ± intere o pennatosette. Ombrella a 5(-12) raggi; brattee 5 o più, lanceolato-lineari (2-3. X 12-18 mm), acuminate, largam. bordate di bianco; petali bianchi, i periferici (vessillari) divisi in due lobi di 3-5 X 8-12 mm; fr. bruno-ferrugineo (5-7 mm), con aculei uncinati lunghi fino a 3 mm.<br /><br />S- e Centro-Europ. (Subpontica?).<br />It. Sett. e Centr.: C; Camp., Basil., Otranto: R; manca nelle Is.",0cf11da04778addbf4cbae7cebb97ddc,5051456,800,0,"Incolti, sponde, vigne.","2-7 dm",,Annuale,"T scap",5952002,"Lappola bianca",,"( = Caucalis gr. L.; Daucus gr. Scop.)","(L.) Hoffm.",2614,Maggio,Agosto
5536,"Orlaya kochii",Specie,"Pianta ispida. F. generalm. con rami ± patenti. Fg. 2-3 pennatosette con segm. estremi oblanceolati, generalm. incisi. Ombrelle a 2-3(-4) raggi; brattee 2-3, lanceolate, lunghe circa quanto i raggi; bratteole ovate; petali bianchi, quelli rivolti all'esterno raggianti (5-7 mm); fr. 10-15 mm, con coste secondarie portanti 2-3 serie di aculei.<br /><br />Steno-Medit.<br />Lig, Pen. (verso Nfino alla Via Emilia), Sic, Sard. e Cors.: C; inoltre sporadica sulle Prealpi Ven. e Lomb. e Colli Eug.; avv. a Trieste.",59ee965e7e9c1d244061b3c5db3c3232,5051458,1400,0,"Incolti, vigne, infestante i coltivi.","1-3 dm",,Annuale,"T scap",5952001,"Lappola minore",,"( = O. platycarpos Koch p.p.; Caucalisplat. Auct. non L.; Daucus plat. Auct. Fl. Ital.)",Heyw.,2613,Maggio,Giugno
5535,"Torilis arvensis subsp. purpurea",Specie,,,,,,,,,,,,,,,,,,
5534,"Torilis arvensis subsp. elongata",Specie,,,,,,,,,,,,,,,,,,
5533,"Torilis arvensis subsp. neglecta",Specie,,,,,,,,,,,,,,,,,,
5532,"Torilis arvensis subsp. arvensis",Specie,,,,,,,,,,,,,,,,,,
5531,"Torilis arvensis",Specie,"F. eretto, scabro per sparse setole rivolte verso il basso. Fg. (3-6 cm) 2-4 pennatosette, divise in lacinie larghe 1-2 mm. Ombrelle a 3-12 raggi, senza brattee (raram. 1-2 brattee effimere); fr. ovoide (3-6 mm), verde-scuro, irsuto per aculei lunghi 1-1.2 mm, all'apice foggiati a freccia.<br /><br />divenuta Subcosmop.<br />In tutto ilterr.: C; Pad.: R.",4c7d590aa884c7618cdae0326dff0279,581477,800,0,"Incolti aridi, ruderi, attorno alle colture.","2-6 dm",,Annuale,"T scap",5945002,"Lappolina canaria; Seccia, Zecca",,"(= T. helvetica Gmelin; T. infesta [L.] Clairv.)","(Hudson) Link",2608,Aprile,Agosto
5530,"Torilis leptophylla",Specie,"F. eretti, ramoso-dicotomi, con peli rivolti in basso. Fg. 2 pennatosette a segm. lineari. Ombrelle a 2-3 raggi, con peduncoli brevi e spesso superate dalla fg. ascellante; involucro nullo; involucretto a 5 bratteole lanceolate; petali subeguali fra loro; fr. 5 mm con aculei spinosi con punta a freccia.<br /><br />Medit.-Turan.<br />Cuneese, Abr., Camp, e Puglia: R; avv. nel Triest., Friuli, Como, Pavese.<br /><br /><strong>Nota</strong> - <em>Astrodaucus orientalis</em> (L.) Drude (Bienne, subglabra; rd. ingrossata a fittone; fg. 3-4pennatosette; ombrelle a 8-15 raggi; involucro nullo; involucretto di numerose bratteole; petali bianchi, gli esterni raggianti lunghi 4 mm) dell'Eur. Or. ed Asia Centr. è stata osservata avv. a Villa Decani pr. Trieste, ora in terr. sotto amministrazione jugoslava.",61cea7872327aff475e65fe83b9b8986,485025,800,0,"Incolti e ruderi.","1-4 dm.",,Annuale,"T scap",5945006,"Lappolina minore",,,"(L.) Rchb. f.",2610,Maggio,Giugno
5529,"Torilis nodosa",Specie,"F. ascendente o eretto, subglabro o debolm. scabro. Fg. (5-15 cm) 2-3 pennatosette, con lacinie larghe 1-2 mm. Ombrelle contratte, capituliformi, sub-sessili all'asc. delle fg.; petali bianchi; fr. ovoide (3 mm), grigio-verde, con aculei lunghi 1 mm all'apice con punta a freccia.<br /><br />Euri-Medit. - Turan.<br />In tutto il terr., Lig., Pen. (verso N fino alla Via Emilia - Parmigiano - Langhe) ed Is.: C; It. Sett.: R (soprattutto sui colli calc.); manca nella Pad.",6cb3fb7545e3d0bb9c56160e5e6e0017,581480,1100,0,"Ruderi, incolti.","2-6 dm",,Annuale,"T scap",5945001,"Lappolina nodosa",,,"(L.) Gaertner",2607,Marzo,Agosto
5528,"Laserpitium halleri subsp. cynapifolium",Specie,,,,,,,,,,,,,,,,,,
5527,"Laserpitium halleri subsp. halleri",Specie,,,,,,,,,,,,,,,,,,
5526,"Laserpitium krapfii subsp. gaudinii",Specie,"F. e fg. (di sotto) glaucescenti; fg. basali con segm. ultimi dentati e con 1-poche incisioni profonde; fg. sup. molto differenti dalle basali, con segm. lanceolato-lineari, interi.<br />Alpi Or., dal M. Grappa alle Gri-gne, C. Tic, Ossola (Val Cairasca) e Oropa; segnalato anche in Cadore al P. Tre Croci.<br /><br />Bibl: . Neugebauer H., Österr. Bot. ZeItschr. 81 241 (1932); Negri G., N. Giorn. Bot. Ital. n.s. 50: 155(1944)",,,2400,600,,,,,,,,"Specie endemica",,,,,
5525,"Laserpitium krapfii subsp. krapfii",Specie,"Glaucescenza scarsa o nulla; fg. basali con segm. ultimi profondam. incisi; fg. cauline simili alle basali, ma piùpiccole. Pianta illirica il cui areale sfiora il nostro confine orientale nel Triest. e Goriz. (M, Maggiore, M. Sia, M. Sissol, Aidussina); indicata dal Comasco, ma probabilm. per confus. con la subsp. seguente.<br /><br />Orof. SE-Europ",,,1300,500,,,,,,,,,"(= L. marginatum W. et K., ind., L. alpinum W. et K.)",,,,
5524,"Laserpitium garganicum subsp. siculum",Specie,,,,,,,,,,,,,,,,,,
5523,"Laserpitium garganicum subsp. garganicum",Specie,,,,,,,,,,,,,,,,,,
5522,"Laserpitium nitidum",Specie,"Rz. legnoso ingrossato con fibre scure; f. eretto, peloso. Fg. basali 2-3 pennatosette, pubescenti sulla rachide, con segm. a contorno lanceolato (1-2 X 2-4 cm), dentellato e con alcune incisioni profonde. Ombrelle con (10-) 15-25 raggi irsuti; brattee numerose, lunghe oltre metà dei raggi, spesso laciniate e ± ripiegate verso il basso; petali bianchi (1.5 mm); fr. 5-6 mm con ali di 1.5 mm.<br /><br />Endem.<br />Monti delle Giudicane, Molveno, V. Ledro, Bresc, Bergam. e Grigne: R.",a3fe1abcc0b660c26d40de81fd88fc24,5050299,1800,700,"Pendii aridi e pietrosi, prati aridi (calc).","3-7 dm","Pianta perenne erbacea",,"H scap",6136008,"Laserpizio insubrico","Specie endemica",,Zanted.,2601,Luglio,Agosto
5521,"Laserpitium gallicum",Specie,"Rz. legnoso, fasciato da fibre brune; f. ascendente o eretto, glabro e glauco, solcato; rami per lo più divergenti ad angolo retto poi ± eretti (secondati). Fg. 3-5 pennatosette con segm. ultimi triforcati, larghi 2-10 mm o più, acuminati; lamina ± coriacea. Ombrelle a 20-50 raggi; brattee numerose, persistenti; petali bianchi o rosei (0.8 mm); fr. 6 mm con ah di 2 mm.<br /><br />Orof. NW-Medit.<br /><br />Alpi Piem. dalla V. Aosta al mare, Langhe, App. Lig., Pav. ed Emil (Villa Minozzo, Fiumalbo, M. Ventasso), un'antica segnalazione anche nell'Alpe della Luna, App. Centr. sui Sibillini e nel Teram.: R; anche nell'Is. Tavolara pr. la Sard.<br /><br /><strong>Variab.</strong> - Molto polimorfa per quanto riguarda la forma delle fg con segm. lineari ed interi oppure allargati e ± incisi o anche oblanceolato-obovati e 3 dentati all'apice, però non sembra si tratti di caratteri veram. rilevanti.",ac039222d70c2a2e69ddace9f4e0a904,5050197,2000,800,"Rupi, pascoli sassosi.","3-15 dm","Pianta perenne erbacea",,"H scap",6136010,"Laserpizio odoroso",,,Linneo,2603,Luglio,Agosto
5520,"Laserpitium prutenicum",Specie,"Rz. cilindrico senza fibre con anelli trasv.; f. eretto, generalm. con peli patenti lunghi 1-2 mm. Fg. ± ispide, le inf. lunghe 2-3 dm, 2-3 pennatosette con segm. di ultimo ordine lanceolati (5-15 X 15-30 mm), ottuso-mucronati, generalm. con 1-3 lobi profondi; fg. cauline con segm. interi. Ombrella a 15-20 raggi; brattee numerose e persistenti; petali bianco-giallastri, profondam. bilobi (1 mm); fr. 3-4 mm, con ali larghe 1 mm.<br /><br />Europ.<br />It. Sett. (soprattutto sui rilievi) dal Friuli al Piem., Lig. (Varazze), Parmig: R.<br /><br /><strong>Confus.</strong> - Con {t2558}.",23fba2f205c7655c5db4d4e8d09357a2,5050315,900,0,"Prati umidi torbosi.","4-12 dm","Pianta perenne erbacea",,"H scap",6136012,"Laserpizio pimpinellino",,,Linneo,2604,Luglio,Settembre
5519,"Laserpitium nestleri",Specie,"Simile a {t2598}, ma fg. generalm. tripennate, con segm. dentati o lobati, talora cuneati alla base; ombrella a 10-30 raggi; involucro di 1-3 brattee in generale precocem. caduche; fr. ad ali piane.<br /><br />NW-Medit.<br />Sard. sul M. Linas: RR e non osservato di recente.<br /><br />Bibl.: Schmid E., Viertel-jahrschr. Naturf. Ges. Zürich 78: 250 (1933).<br /><br />Nestler Chr.-G. (1778-1832), di Strasburgo, monografo delle Potentilla.",f83c5e2a6b158074e849896f44ee77fb,43790680,1000,500,"Boscaglie degradate.","5-10 dm.","Pianta perenne erbacea",,"H scap",6136004,"Laserpizio di Nestler",,,Soy.-Will.,2598/b,Giugno,Luglio
5518,"Laserpitium krapfii",Specie,"Rz. avvolto da fibre scure; f. cilindrico, fi-nem. solcato. Fg. basali (1-4 dm) 3-4 pennatosette con segm. larghi 5-15 mm. Ombrelle a 7-20 raggi, alla fine ingrossati e ± rigidi; brattee assenti o 1-5 caduche; petali giallastri (0.7 mm); fr. 5-9 mm con ali lat. larghe 1-1.5 mm.<br /><br /><strong>Confus.</strong> - Con {t2594} (cfr.).<br /><br />Krapf K. von (sec. XVIII), studiò il gen. <em>Ranunculus</em>.",52c36ce6261ca5be94b46876e89f3b8e,5050264,,,"Pendii pietrosi, cespuglieti subalpini.","4-8 dm","Pianta perenne erbacea",,"H scap",6136005,"Laserpizio di Krapf",,,Crantz,2599,Luglio,Agosto
5517,"Laserpitium latifolium",Specie,"Pianta glabra e glauca (!). F. eretto, striato, ramosissimo. Fg. basali 2 pennate, completam. divise in segm. ovali-cuoriformi (6-8 X 8-10 cm), i lat. un po' asimmetrici, sul bordo dentati (con mucrone cartilagineo rosso all'apice) o raram. con un'incisione profonda; fg. cauline simili, minori. Ombrelle a 40(25-50) raggi; brattee lineari (1 X 15 mm, nell'ombrella principale fino a 3 X 35 mm), riflesse, canalicolate; petali bianco-giallognoli 1.5 mm; fr. 7-9 mm con ali larghe 1.5-2.5 mm.<br /><br />Europ.<br />Alpi e rilievi circostanti, dal Carso alle A. Mariti: C; App. e rilievi della Pen. fino alla Cal. Sett: R.<br /><br /><strong>Variab.</strong> - Nell'It. Centro-Merid. si presentano popolazioni con fg. e fr. sparsam. tomentosi corrispondenti alla subvar. asperum (Crantz) Rouy et Cam.; nelle A. Maritt. è segnalata una fo. microcarpum (Burnat) Thell. a fr. di 4-5 mm. Forse maggior significato ha un tipo (soprattutto sulle Alpi, ai livelli più elevati) di piccole dimensioni, con segm. cordiformi-asimmetrici e fi. generalm. rossi a purpurei: subvar. libanotis (Lam.) Thell.",0af132266b1f5a858d6ee85be3e9561c,5050265,2100,500,"Pendii aridi rupestri, prati aridi montani.","5-12 dm","Pianta perenne erbacea",,"H scap",6136002,"Laserpizio erba-nocitola",,,Linneo,2598,Giugno,Agosto
5516,"Laserpitium peucedanoides",Specie,"Rd. avvolta da fibre brune; f. eretto, flessuoso, glabro. Fg. basali 2-3 volte ternate con segm. di ultimo ordine lanceolato-lineari (2-4 x 12-25 mm, raram. fino a 8 X 30 mm oppure lineari di 2 X 70 mm), interi, un po' glaucescenti di sotto. Ombrelle a 4-6(2-15) raggi; brattee 5-6, patenti, spesso ± arrossate; petali bianco-purpurei (1 mm); fr. 7-9 mm con ali ialine larghe 2 mm.<br /><br />Endem. E-alpino-dinarico.<br />Alpi Or., dalle Giulie alle Grigne: R.",7acf422dc6d5636b8cc2adc4eba9be23,5050309,2400,500,"Pascoli subalpini ed alpini (seslerieti) su calc.","1-4 dm",,,"H scap",6136006,"Laserpizio delle Dolomiti",,,Linneo,2600,Luglio,Agosto
5515,"Laserpitium garganicum",Specie,"Simile a {t2596}, ma molto minore; fg. basali generalm. 1-2.5(-4) dm; segm. d'ultimo ordine 1.5-2 volte più lunghi che larghi a volte anche subrotondi, con bordo cartilagineo traslucido, finem. dentellato (lente!); ombrelle a 10-20 raggi; fr. con ali larghe 1.5 mm.<br /><br />Endem. (Forse anche nella Pen. Balcan.).<br />Pen. dall'Umbria alla Cai. e Sic. sulle Madonie: R; segnalato anche in Sard. sui monti d'Oliena.<br /><br /><strong>Osserv.</strong> - Questo gruppo meriterebbe ulteriori indagini. La subsp. (a) raggiunge il suo estremo sett. sul M. Subasio, ricompare in Lazio (M. Gennaro pr. Palombara Sabina, Terminillo), diviene prevalente in Abr. (Gr. Sasso, Sirente, Velino, Duchessa, Marsica), salvo nella zona della Majella dove prevale {t2596} (a Villavallelonga {t2596} e {t2597} compaiono assieme) ed esclusivo nel Garg., Camp., Basil., e Cal. Sett. La var. stabianum (Lacaita) Pign., è caratterizzata da segm. più allungati (4-8 X 8-20 mm) e portam. generale di {t2596}: essa prevale sul versante tirrenico dall'Alburno e M. Accelica al M. Mon-tea e penetra sporadicam. fino all'Abr.",c675ec1efbe0fef625729ec553415bd9,,2600,600,"Pendii sassosi rupestri (calc).","2-5 dm","Pianta perenne erbacea",,"H scap",6136014,"Laserpizio del Meridione","Specie endemica","( = Ligusticum garg. Ten.)","(Ten.) Bertol.",2597,Giugno,Luglio
