"eol_id","Taxa category","Latin name","Italian common name","Florae url ","Acta planctorum url","Floritaly url"
"1119867","Specie","Eriocaulon cinereum","Eriocaulon","https://www.florae.it/?id=8911","https://www.actaplantarum.org/flora/flora_info.php?id=2949","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7156"
"523353","Specie","Tradescantia fluminensis","Tradescanzia Sudamericana","https://www.florae.it/?id=8910","http://www.actaplantarum.org/flora/flora_info.php?id=7842","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7155"
"524162","Specie","Tradescantia virginiana","Tradescanzia; Erba Miseria, Fiore d'un giorno","https://www.florae.it/?id=8909","http://www.actaplantarum.org/flora/flora_info.php?id=7843","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7154"
"1122624","Specie","Commelina virginica","Erba Miseria americana","https://www.florae.it/?id=8908","http://www.actaplantarum.org/flora/flora_info.php?id=2238","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7152"
"1122784","Specie","Commelina communis","Erba Miseria asiatica","https://www.florae.it/?id=8907","http://www.actaplantarum.org/flora/flora_info.php?id=2237","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7151"
"17265","Genere","Tradescantia","Tradescanzia","https://www.florae.it/?id=8906",NULL,NULL
"48070093","Specie","Zebrina pendula","Zebrina; Erba miseria","https://www.florae.it/?id=8905","https://www.actaplantarum.org/flora/flora_info.php?id=201544&pid=529054","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=11558"
"1116153","Specie","Murdannia keisak","Erba Miseria delle risaie","https://www.florae.it/?id=8904","http://www.actaplantarum.org/flora/flora_info.php?id=5201","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7153"
"11832895","Genere","Commelina","Erba Miseria","https://www.florae.it/?id=8903",NULL,NULL
"413776","Specie","Luzula pindica","Erba lucciola del monte Pindo","https://www.florae.it/?id=8900","http://www.actaplantarum.org/flora/flora_info.php?id=4893","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7133"
"48484607","Specie","Luzula italica","Erba lucciola d'Italia","https://www.florae.it/?id=8899",NULL,NULL
"635010","Specie","Luzula spicata","Erba lucciola pendula","https://www.florae.it/?id=8898","http://www.actaplantarum.org/flora/flora_info.php?id=4895","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7132"
"230522","Specie","Luzula sudetica","Erba lucciola delle Alpi","https://www.florae.it/?id=8897","http://www.actaplantarum.org/flora/flora_info.php?id=4900","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7127"
"243133","Specie","Luzula calabra","Erba lucciola di Calabria","https://www.florae.it/?id=8896","https://www.actaplantarum.org/flora/flora_info.php?id=4878","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=9290"
"636570","Specie","Luzula multiflora","Erba lucciola multiflora","https://www.florae.it/?id=8895","http://www.actaplantarum.org/flora/flora_info.php?id=4888","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7126"
"627725","Specie","Luzula campestris","Erba lucciola comune","https://www.florae.it/?id=8894","http://www.actaplantarum.org/flora/flora_info.php?id=4878","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7124"
"48324966","Specie","Luzula nutans","Erba lucciola nutante","https://www.florae.it/?id=8893","https://www.actaplantarum.org/flora/flora_info.php?id=4890","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7134"
"630693","Specie","Luzula glabrata","Erba lucciola glabrescente","https://www.florae.it/?id=8886","http://www.actaplantarum.org/flora/flora_info.php?id=4882","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7146"
"49084030","Specie","Luzula alpino-pilosa","Erba lucciola dei ghiacciai","https://www.florae.it/?id=8885","https://www.actaplantarum.org/flora/flora_info.php?id=4877","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7145"
"631103","Specie","Luzula sylvatica","Erba lucciola a foglie larghe","https://www.florae.it/?id=8884","http://www.actaplantarum.org/flora/flora_info.php?id=4901","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7138"
"49231995","Specie","Luzula sieberi","Erba lucciola di Sieber","https://www.florae.it/?id=8883","https://www.actaplantarum.org/flora/flora_info.php?id=4902","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7137"
"631081","Specie","Luzula lutea","Erba lucciola gialla","https://www.florae.it/?id=8882","http://www.actaplantarum.org/flora/flora_info.php?id=4883","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7139"
"631070","Specie","Luzula pedemontana","Erba lucciola piemontese","https://www.florae.it/?id=8881","http://www.actaplantarum.org/flora/flora_info.php?id=4891","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7141"
"48339671","Specie","Luzula albida","Erba lucciola bianca","https://www.florae.it/?id=8880","https://www.actaplantarum.org/flora/flora_info.php?id=4886","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7143"
"631059","Specie","Luzula nivea","Erba lucciola maggiore","https://www.florae.it/?id=8879","http://www.actaplantarum.org/flora/flora_info.php?id=4889","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7140"
"626157","Specie","Luzula luzulina","Erba lucciola delle peccete","https://www.florae.it/?id=8878","http://www.actaplantarum.org/flora/flora_info.php?id=4884","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7149"
"301026","Specie","Luzula forsteri","Erba lucciola mditerranea","https://www.florae.it/?id=8877","http://www.actaplantarum.org/flora/flora_info.php?id=4881","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=7148"
